disposition,code_2026_27,code_2027_28,code_moved,similarity,text_2026_27,text_2027_28,cluster_2027_28,era_2027_28
revised,US.21,US.23,yes,0.64,"Describe the causes of the Spanish-American War and the outcomes of American imperialism, including:
• Annexation of Hawaii
• Philippine Insurrection
• Roosevelt Corollary
• Panama Canal
• Access to Cuba","Describe the effects of American imperialism, including: • Spanish-American War • Annexation of Hawaii • Panama Canal • Philippine Insurrection • Access to Cuba • Roosevelt Corollary",Imperialism and World War I (1890-1920),Imperialism and World War I (1890-1920)
revised,US.22,US.24,yes,0.67,"Compare and contrast President Theodore Roosevelt’s Big Stick diplomacy, President William Howard Taft’s Dollar Diplomacy, and President Woodrow Wilson’s Moral Diplomacy.","Compare and contrast the motivations behind President Theodore Roosevelt’s Big Stick diplomacy (i.e., militarism/expansionism), President William Howard Taft’s Dollar Diplomacy (i.e., economics), and President Woodrow Wilson’s Moral Diplomacy (i.e., nationalism).",Imperialism and World War I (1890-1920),Imperialism and World War I (1890-1920)
revised,US.23,US.25,yes,0.73,Explain the causes of World War I and the reasons for the initial declaration of U.S. neutrality.,"Explain the causes of World War I, including militarism, alliances, nationalism, imperialism, assassination, and the reasons for the initial declaration of U.S. neutrality.",Imperialism and World War I (1890-1920),Imperialism and World War I (1890-1920)
unchanged,US.24,US.26,yes,0.97,"Explain the reasons for American entry into World War I, including: the use of unrestricted submarine warfare, the Zimmerman Telegram, the defense of democracy, and economic motivations.","Explain the reasons for U.S. entry into World War I, including the use of unrestricted submarine warfare, the Zimmerman Telegram, the defense of democracy, and economic motivations.",Imperialism and World War I (1890-1920),Imperialism and World War I (1890-1920)
revised,US.25,US.27,yes,0.87,"Identify and explain the impact of the following on World War I (T.C.A. § 49-6-1006):
• Trench warfare
• Use of new weapons and technology
• Harlem Hell Fighters
• Herbert Hoover
• John J. Pershing
• Alvin C. York",Identify and explain the impact of the following on World War I (T.C.A. § 49-6-1006): • Trench warfare • Use of new weapons and technology • John J. Pershing • Harlem Hell Fighters • Alvin C. York,Imperialism and World War I (1890-1920),Imperialism and World War I (1890-1920)
unchanged,US.26,US.28,yes,0.96,"Analyze the political, economic, and social ramifications of World War I on the home front, including:
• Role played by women and minorities
• Voluntary rationing
• Committee on Public Information
• Opposition by conscientious objectors
• Schenck v. United States decision","Analyze the political, economic, and social ramifications of World War I on the home front, including: • Role played by women and minorities • Voluntary rationing • Committee on Public Information (i.e., Creel Committee) • Opposition by conscientious objectors • Schenck v. United States decision",Imperialism and World War I (1890-1920),Imperialism and World War I (1890-1920)
revised,US.27,US.29,yes,0.87,"Analyze the significance of President Woodrow Wilson’s Fourteen Points, the causes and effects of the U.S. rejection of the League of Nations, and the subsequent impact on world politics.","Analyze the significance of President Woodrow Wilson’s contributions to the Treaty of Versailles, including the Fourteen Points, the causes and effects of the U.S. rejection of the League of Nations, and the subsequent impact on world politics.",Imperialism and World War I (1890-1920),Imperialism and World War I (1890-1920)
revised,US.28,US.30,yes,0.93,Analyze the impact of the Great Migration of African Americans that began in the early 1900s from the rural South to the industrial regions of the Northeast and Midwest. (T.C.A. § 49-6-1006),Analyze the impact of the Great Migration of African Americans that began in the post-World War I era from the rural South to the industrial regions of the Northeast and Midwest. (T.C.A. § 49-6-1006),The 1920s (1920-1929),The 1920s (1920-1929)
revised,US.29,US.31,yes,0.75,"Describe the growth and effects that radio and movies played in the emergence of popular culture as epitomized by celebrities such as Charlie Chaplin, Charles Lindbergh, and Babe Ruth.","Describe the growth and effects that radio and movies played in the emergence of popular culture, such as advertising, celebrities, news, and entertainment.",The 1920s (1920-1929),The 1920s (1920-1929)
revised,US.30,US.32,yes,0.89,"Examine the growth and popularity of country and blues music, including the rise of: the Grand Ole Opry, W.C. Handy, and Bessie Smith. (T.C.A. § 49-6-1006)","Examine how the use of the radio helped grow the popularity of country and blues music, including the rise of the Grand Ole Opry, W.C. Handy, and Bessie Smith. (T.C.A. § 49 -6-1006)",The 1920s (1920-1929),The 1920s (1920-1929)
unchanged,US.31,US.33,yes,1.00,"Describe the impact of new technologies of the era, including the advent of air travel and spread of electricity.","Describe the impact of new technologies of the era, including the advent of air travel and spread of electricity.",The 1920s (1920-1929),The 1920s (1920-1929)
unchanged,US.32,US.34,yes,1.00,"Describe the impact of Henry T. Ford, the automobile, and the mass production of automobiles on the American economy and society.","Describe the impact of Henry T. Ford, the automobile, and the mass production of automobiles on the American economy and society.",The 1920s (1920-1929),The 1920s (1920-1929)
revised,US.33,US.35,yes,0.66,"Describe the Harlem Renaissance, its impact, and important figures, including (T.C.A. § 49-6-1006):
• Louis Armstrong
• Duke Ellington
• Langston Hughes
• Zora Neale Hurston","Analyze the impact of the Harlem Renaissance and its important figures on American culture, including (T.C.A. § 49- 6-1006): • Louis Armstrong • Duke Ellington • Langston Hughes • Zora Neale Hurston • James Weldon Johnson",The 1920s (1920-1929),The 1920s (1920-1929)
unchanged,US.34,US.36,yes,0.95,"Describe changes in the social and economic status of women during this era, including: flappers, birth control, clerical and office jobs, and the rise of women’s colleges.","Describe changes and limitations in the social and economic status of women during this era, including flappers, birth control, clerical and office jobs, and the rise of women’s colleges.",The 1920s (1920-1929),The 1920s (1920-1929)
revised,US.35,US.37,yes,0.56,"Examine challenges related to civil liberties and racial/ethnic tensions during this era, including (T.C.A. § 49-6-1006):
• First Red Scare
• Immigration Quota Acts of the 1920s
• Resurgence of the Ku Klux Klan
• Efforts of Ida B. Wells
• Emergence of Garveyism
• Rise of the NAACP","Examine challenges and advancements related to the push for civil liberties, including (T.C.A. § 49-6- 1006): • First Red Scare • Immigration Quota Acts of the 1920s • Resurgence of the Ku Klux Klan • Black Wallstreet and Tulsa Massacre • Rise of the NAACP • Efforts of Ida B. Wells-Barnett • Emergence of Garveyism",The 1920s (1920-1929),The 1920s (1920-1929)
revised,US.36,US.38,yes,0.60,"Describe the Scopes Trial of 1925, including: the major figures, two sides of the controversy, the outcome, and legacy.","Describe the Scopes Trial of 1925, including the major figures (i.e., John Scopes, William Jennings Bryan, and Clarence Darrow), two sides of the controversy (i.e., fundamentalism and modernism), the outcome, and the legacy.",The 1920s (1920-1929),The 1920s (1920-1929)
revised,US.37,US.39,yes,0.76,"Describe the impacts of Prohibition on American society, including: the rise of organized crime, bootlegging, and speakeasies.","Describe the impacts of the 18th Amendment and Prohibition on American society, including the rise of organized crime, bootlegging, speakeasies, and the eventual repeal with the 21st Amendment.",The 1920s (1920-1929),The 1920s (1920-1929)
new,,US.40,,,,"Analyze the advantages and disadvantages of President Warren G. Harding's and President Calvin Coolidge's economic policies and their impact on culture of the United States as a result of credit expansion, consumerism, and financial speculation.",The 1920s (1920-1929),The 1920s (1920-1929)
revised,US.39,US.41,yes,0.58,"Analyze the causes of the Great Depression, including:
• Bank failures
• Buying on margin
• Crash of the stock market
• Excess consumerism
• High tariffs
• Laissez-faire politics
• Overextension of credit
• Overproduction in agriculture and manufacturing
• Rising unemployment","Analyze the causes of the Great Depression, including: • Bank failures • Laissez-faire politics • Buying on margin • Overextension of credit • Crash of the stock market • Overproduction in agriculture • Excess consumerism in manufacturing • High tariffs • Rising unemployment",The Great Depression and New Deal (1929-1941),The Great Depression and New Deal (1929-1941)
revised,US.40,US.42,yes,0.88,"Analyze the causes of the Dust Bowl, and explain the social, geographic, and economic impacts.","Explain the causes of the Dust Bowl, and its social, geographic, and economic impacts.",The Great Depression and New Deal (1929-1941),The Great Depression and New Deal (1929-1941)
unchanged,US.41,US.43,yes,1.00,"Describe the impact of the Great Depression on the American people, including: mass unemployment, migration, and Hoovervilles.","Describe the impact of the Great Depression on the American people, including mass unemployment, migration, and Hoovervilles.",The Great Depression and New Deal (1929-1941),The Great Depression and New Deal (1929-1941)
unchanged,US.42,US.44,yes,1.00,"Describe the steps taken by President Herbert Hoover to address the depression, including his: philosophy of “Rugged Individualism,” public works projects, the Reconstruction Finance Corporation, and response to the “Bonus Army.”","Describe the steps taken by President Herbert Hoover to address the depression, including his philosophy of “Rugged Individualism,” public works projects, the Reconstruction Finance Corporation, and response to the “Bonus Army.”",The Great Depression and New Deal (1929-1941),The Great Depression and New Deal (1929-1941)
revised,US.43,US.45,yes,0.64,"Analyze the impact of the relief, recovery, and reform efforts of President Franklin D. Roosevelt’s New Deal programs, including:
• Agricultural Adjustment Act
• Civilian Conservation Corps
• Fair Labor Standards Act
• Federal Deposit Insurance Corporation
• National Recovery Administration
• Securities and Exchange Commission
• Social Security
• Tennessee Valley Authority
• Works Progress Administration","Analyze the impact of the relief, recovery, and reform efforts of President Franklin D. Roosevelt’s New Deal programs, including: • Agricultural Adjustment Act • Civilian Conservation Corps • Securities and Exchange Commission • Fair Labor Standards Act • Social Security • Federal Deposit Insurance • Tennessee Valley Authority • Works Progress Administration • National Recovery Administration",The Great Depression and New Deal (1929-1941),The Great Depression and New Deal (1929-1941)
unchanged,US.44,US.46,yes,1.00,"Analyze the effects of and the controversies arising from New Deal economic policies, including charges of socialism and President Franklin D. Roosevelt’s “court packing” attempt.","Analyze the effects of and the controversies arising from New Deal economic policies, including charges of socialism and President Franklin D. Roosevelt’s “court packing” attempt.",The Great Depression and New Deal (1929-1941),The Great Depression and New Deal (1929-1941)
revised,US.45,US.47,yes,0.66,"Explain the rise and spread of fascism, communism, and totalitarianism internationally.","Explain the rise and spread of fascism, communism, and totalitarianism internationally, including the following leaders: • Adolf Hitler • Benito Mussolini • Joseph Stalin • Hideki Tojo",World War II (1936-1945),World War II (1936-1945)
revised,US.46,US.48,yes,0.57,"Explain President Franklin D. Roosevelt’s response to world crises, including: the Quarantine Speech, the Four Freedoms speech, the Atlantic Charter, and the Lend-Lease Act.","Explain the progression of key events and President Franklin D. Roosevelt’s response to world crises that lead to U.S. entry into World War II, including the Quarantine Speech, the Four Freedoms Speech, the Atlantic Charter, the Lend-Lease Act, and Pearl Harbor.",World War II (1936-1945),World War II (1936-1945)
unchanged,US.47,US.49,yes,0.97,"Analyze the response of the U.S. to the plight of European Jews before the start of the war, the U.S. liberation of concentration camps during the war, and the immigration of Holocaust survivors after the war.","Analyze the response of the United States to the plight of European Jews before the start of the war, the U.S. liberation of concentration camps during the war, and the immigration of Holocaust survivors after the war.",World War II (1936-1945),World War II (1936-1945)
new,,US.50,,,,"Explain the role of key figures, geography and military factors on the outcomes of battles in the Pacific, European, and North African theaters of war, including: • Winston Churchill • Dwight D. Eisenhower • Douglas MacArthur • George Patton • President Harry S. Truman • Battles of Midway, Iwo Jima, and Okinawa • Normandy • Battle of the Bulge • Invasion of Sicily • Actions of the 101st Airborne",World War II (1936-1945),World War II (1936-1945)
unchanged,US.51,US.51,no,0.96,"Identify the roles and sacrifices of individual American soldiers, as well as the unique contributions of special fighting forces such as the Tuskegee Airmen, the 442nd Regimental Combat team, the 101st Airborne, and the Navajo Code Talkers.","Identify the roles and sacrifices of individual American soldiers, as well as the unique contributions of special fighting forces such as the Tuskegee Airmen, the 442nd Regimental Combat team, and the Navajo Code Talkers.",World War II (1936-1945),World War II (1936-1945)
unchanged,US.53,US.52,yes,1.00,"Examine the impact of World War II on economic and social conditions for African Americans, including the Fair Employment Practices Committee and the eventual integration of the armed forces by President Harry S. Truman. (T.C.A. § 49-6-1006)","Examine the impact of World War II on economic and social conditions for African Americans, including the Fair Employment Practices Committee and the eventual integration of the armed forces by President Harry S. Truman. (T.C.A. § 49-6-1006)",World War II (1936-1945),World War II (1936-1945)
new,,US.53,,,,"Explore the effects of the large-scale growth of women entering the work force and military during World War II and the subsequent impact on American society, including Rosie the Riveter, Cornelia Fort, and the Women's Army Corp.",World War II (1936-1945),World War II (1936-1945)
revised,US.54,US.54,no,0.94,"Describe the constitutional issues and impact of the internment of Japanese Americans on the U.S., including the Fred Korematsu v. United States of America decision.","Describe the constitutional issues, conditions, and impact of the internment of Japanese Americans on the United States, including the Fred Korematsu v. United States of America decision.",World War II (1936-1945),World War II (1936-1945)
new,,US.55,,,,"Describe the war’s impact on the home front, including: • Rationing • Bracero program • Zoot Suit Riots • Bond drives • Conversion of factories for wartime • Propaganda production • Movement to cities and industrial areas",World War II (1936-1945),World War II (1936-1945)
revised,US.56,US.56,no,0.75,"Describe the Manhattan Project, and explain the rationale for using the atomic bomb to end the war.","Describe the Manhattan Project, including Oak Ridge, Los Alamos, and Hanford, and explain President Truman's rationale for using the atomic bomb to end the war.",World War II (1936-1945),World War II (1936-1945)
new,,US.57,,,,"Explain the major outcomes of the Yalta and Potsdam Conferences (e.g., the separation of Germany, emergence of the threat of the atomic bomb, dispersal of Eastern European nations, and rising tensions between the United States and Soviet Union).",World War II (1936-1945),World War II (1936-1945)
unchanged,US.58,US.58,no,1.00,"Identify and explain the reasons for the founding of the United Nations, including the role of Cordell Hull.","Identify and explain the reasons for the founding of the United Nations, including the role of Cordell Hull.",Cold War (1947-1991),Cold War (1947-1991)
revised,US.59,US.59,no,0.92,"Describe the competition between the U.S. and the Soviet Union in arms development, economic dominance, and ideology, including the roles of NATO, SEATO, and the Warsaw Pact.","Describe the competition between the United States and the Soviet Union in arms development, economic dominance, and ideology, including the roles of the United Nations, NATO, and the Warsaw Pact.",Cold War (1947-1991),Cold War (1947-1991)
revised,US.60,US.60,no,0.94,"Explain the Cold War policies of containment and the Truman Doctrine, Marshall Plan, and Berlin Airlift.","Analyze the Cold War policies of containment and the Truman Doctrine, Marshall Plan, and Berlin Airlift.",Cold War (1947-1991),Cold War (1947-1991)
revised,US.62,US.61,yes,0.82,"Describe the causes, course, and consequences of the Korean War, including:
• Domino theory
• 38th parallel
• Battle of Inchon
• Entry of the communist Chinese
• Final division of the Koreas","Describe the causes, course, and consequences of the Korean War, including: • Domino theory • Entry of communist China • 38th parallel • Final division of the Korean Peninsula",Cold War (1947-1991),Cold War (1947-1991)
revised,US.63,US.62,yes,0.72,"Explain Cold War policies during President Dwight D. Eisenhower’s administration, including brinksmanship and “peaceful coexistence.”","Explain how containment influenced Cold War policies during Dwight D. Eisenhower’s administration, including brinksmanship, “peaceful coexistence,” and the issue of the military-industrial complex.",Cold War (1947-1991),Cold War (1947-1991)
revised,US.61,US.63,yes,0.86,"Analyze the causes and effects of the Second Red Scare, including: Americans’ attitudes toward McCarthyism, blacklisting, and Julius and Ethel Rosenberg.","Analyze the causes and effects of the Second Red Scare, including Americans' attitudes toward McCarthyism, blacklisting, House Un-American Activities Committee (i.e., HUAC), and Julius and Ethel Rosenberg.",1950s at Home (1950s-1963),1950s at Home (1950s-1963)
revised,US.71,US.64,yes,0.64,"Analyze the impact of prosperity and consumerism in the 1950s, including: the growth of white-collar jobs, the “suburban ideal,” the impact of the G.I. Bill, and the increased reliance on foreign oil.","Analyze the impact of prosperity and consumerism in the 1950s, including the growth of white-collar jobs, the “suburban ideal,” the impacts of and disproportionate access to the G.I. Bill, and the increased reliance on foreign oil.",1950s at Home (1950s-1963),1950s at Home (1950s-1963)
revised,US.72,US.65,yes,0.93,Explain the impact of the baby boomer generation on the American economy and culture.,Explain the impact of the baby boomer generation on the U.S. economy and culture.,1950s at Home (1950s-1963),1950s at Home (1950s-1963)
revised,US.73,US.66,yes,0.70,"Describe domestic developments during President Dwight D. Eisenhower’s administration, including advances in medicine and the creation of the Interstate Highway System.","Describe domestic developments during Dwight D. Eisenhower's administration, including: • Polio vaccine • Interstate Highway System • Growth of suburbia • Hotel chains • Fast food chains",1950s at Home (1950s-1963),1950s at Home (1950s-1963)
unchanged,US.75,US.67,yes,0.96,"Analyze the increasing impact of television and mass media on the American home, politics, and economy.","Analyze the increasing impact of television and mass media on American homes, politics, and the economy.",1950s at Home (1950s-1963),1950s at Home (1950s-1963)
unchanged,US.76,US.68,yes,1.00,"Describe the emergence of a youth culture, including beatniks and the progression of popular music (from swing to rhythm and blues to rock ‘n’ roll), and the impact of Tennessee on the music industry, including the influence of B.B. King, Elvis Presley, Stax Records, and Sun Studio. (T.C.A. § 49-6-1006)","Describe the emergence of a youth culture, including beatniks and the progression of popular music (from swing to rhythm and blues to rock ‘n’ roll), and the impact of Tennessee on the music industry, including the influence of B.B. King, Elvis Presley, Stax Records, and Sun Studio. (T.C.A. § 49-6-1006)",1950s at Home (1950s-1963),1950s at Home (1950s-1963)
revised,US.64,US.69,yes,0.88,"Explain the fears of Americans surrounding nuclear holocaust, debates over stockpiling, and the use of nuclear weapons, including:
• Atomic testing
• Civil defense
• Fallout shelters
• Impact of Sputnik
• Mutual assured destruction","Explain the fears of Americans surrounding nuclear holocaust, debates over stockpiling, and the use of nuclear weapons, including: • Atomic testing • Civil defense • Mutual assured destruction • Fallout shelters",1950s at Home (1950s-1963),1950s at Home (1950s-1963)
unchanged,US.65,US.70,yes,0.96,"Describe the relationship between Cuba and the U.S., including the Bay of Pigs Invasion and Cuban Missile Crisis.","Describe the relationship between Cuba and the United States, including the Bay of Pigs Invasion and Cuban Missile Crisis.",Kennedy and Johnson Years (1961-1969),Kennedy and Johnson Years (1961-1969)
new,,US.71,,,,"Describe the competition between the United States and Soviet Union for superiority in space (i.e., Sputnik and the development of NASA, Operation Paperclip), including its effects on the American education system and industry.",Kennedy and Johnson Years (1961-1969),Kennedy and Johnson Years (1961-1969)
unchanged,US.77,US.72,yes,0.96,"Describe President John F. Kennedy’s New Frontier programs to improve education, end racial discrimination, create the Peace Corps, and put a man on the moon.","Describe the goals of President John F. Kennedy’s New Frontier programs to improve education, end racial discrimination, create the Peace Corps, and put a man on the moon.",Kennedy and Johnson Years (1961-1969),Kennedy and Johnson Years (1961-1969)
revised,US.83,US.73,yes,0.92,"Evaluate the impact of President Lyndon Johnson’s Great Society programs, including: Medicare, urban renewal, and the War on Poverty.","Describe the goals of President Lyndon Johnson’s Great Society programs, including Medicare, urban renewal, and the War on Poverty.",Kennedy and Johnson Years (1961-1969),Kennedy and Johnson Years (1961-1969)
revised,US.78,US.74,yes,0.74,Examine the decision and impact of Brown v. Board of Education on desegregation. (T.C.A. § 49-6-1006),"Examine the decision and impacts of Brown v. Board of Education on the desegregation of schools, such as Scarboro 85, Clinton 12 and Little Rock 9. (T.C.A. § 49-6-1006)",Civil Rights Movement (1950s-1960s),Civil Rights Movement (1950s-1960s)
new,,US.75,,,,Analyze the impact of Emmitt Till's murder and the use of mass media on the trajectory of the Civil Rights Movement.,Civil Rights Movement (1950s-1960s),Civil Rights Movement (1950s-1960s)
revised,US.79,US.76,yes,0.68,"Examine the roles and actions of civil rights advocates (e.g., Malcolm X, Thurgood Marshall, Rosa Parks) and opponents (e.g., Bull Connor, Orval Faubus, Strom Thurmond) and how they coincided with, confronted, and challenged each other. (T.C.A. § 49-6-1006)","Examine the roles and actions of civil rights advocates (e.g., Dr. Martin Luther King, Jr., Malcolm X, John Lewis, Diane Nash, Thurgood Marshall, Rosa Parks) and opponents (e.g., Bull Connor, Orval Faubus, George Wallace, Strom Thurmond). (T.C.A. § 49-6-1006)",Civil Rights Movement (1950s-1960s),Civil Rights Movement (1950s-1960s)
new,,US.77,,,,"Describe the significant events in the struggle to secure civil rights for African Americans, including: (T.C.A. § 49-6-1006) • Highlander Folk School • Montgomery Bus Boycott • Tent City in Fayette County, TN • Nashville sit-ins • Freedom Riders • Birmingham bombings of 1963 • Freedom Summer • March on Washington, D.C. • March on Selma • Memphis sanitation strike and assassination of Dr. Martin Luther King, Jr.",Civil Rights Movement (1950s-1960s),Civil Rights Movement (1950s-1960s)
unchanged,US.81,US.78,yes,1.00,"Analyze civil and voting rights legislation, including: the Civil Rights Act of 1964, the Voting Rights Act of 1965, the Civil Rights Act of 1968 (i.e., Fair Housing Act), and the 24th Amendment. (T.C.A. § 49-6-1006)","Analyze civil and voting rights legislation, including the Civil Rights Act of 1964, the Voting Rights Act of 1965, the Civil Rights Act of 1968 (i.e., Fair Housing Act), and the 24th Amendment. (T.C.A. § 49-6-1006)",Civil Rights Movement (1950s-1960s),Civil Rights Movement (1950s-1960s)
unchanged,US.82,US.79,yes,1.00,"Analyze how the American Indian Movement, Chicano Movement, and Feminist Movement are related to the Civil Rights Movement in advancing equality across the broader spectrum of American society during this time period.","Analyze how the American Indian Movement, Chicano Movement, and Feminist Movement are related to the Civil Rights Movement in advancing equality across the broader spectrum of American society during this time period.",Civil Rights Movement (1950s-1960s),Civil Rights Movement (1950s-1960s)
