course,code,meaning_2026_27,meaning_2027_28
us-history-geography,US.16,"Analyze the significant progressive achievements during President Theodore Roosevelt’s administration, including:
• Square Deal
• “Trust-busting”
• Pure Food and Drug Act
• Meat Inspection Act
• Support for conservation","Explain the roles played by muckrakers and progressive idealists, including: • Jane Addams • Jacob Riis • Upton Sinclair • Lincoln Steffens • Ida Tarbell • Ida B. Wells-Barnett"
us-history-geography,US.18,"Describe the movement to achieve suffrage for women, including: the significance of leaders such as Carrie Chapman Catt, Anne Dallas Dudley, and Alice Paul, the activities of suffragettes, the passage of the 19th Amendment, and the role of Tennessee as the “Perfect 36.”","Analyze the goals and achievements of the Progressive movement, including: • Adoption of the initiative, referendum, and recall • Adoption of the primary system • 16th Amendment • 17th Amendment"
us-history-geography,US.19,"Assess the causes of American imperialism in the late 19th and early 20th centuries, including: the desire for raw materials and new markets, the desire to spread American democratic and moral ideals, and yellow journalism.","Analyze the significant progressive achievements during President Woodrow Wilson’s administration, including: • New Freedom • Federal Reserve Act • Creation of the National Park Service • Clayton Antitrust Act of 1914"
us-history-geography,US.20,Compare and contrast the arguments of interventionists and non-interventionists of the period.,"Describe the movement to achieve suffrage for women, including the significance of: • Leaders such as Carrie Chapman Catt, Anne Dallas Dudley, and Alice Paul • Activities of suffragists • Passage of the 19th Amendment, including the role of Tennessee • Legacy of Susan B. Anthony"
us-history-geography,US.21,"Describe the causes of the Spanish-American War and the outcomes of American imperialism, including:
• Annexation of Hawaii
• Philippine Insurrection
• Roosevelt Corollary
• Panama Canal
• Access to Cuba","Assess the causes of American imperialism in the late 19th and early 20th centuries, including the desire for raw materials and new markets, American nationalism, and yellow journalism."
us-history-geography,US.22,"Compare and contrast President Theodore Roosevelt’s Big Stick diplomacy, President William Howard Taft’s Dollar Diplomacy, and President Woodrow Wilson’s Moral Diplomacy.",Compare and contrast the arguments of imperialists and non-imperialists of the period.
us-history-geography,US.23,Explain the causes of World War I and the reasons for the initial declaration of U.S. neutrality.,"Describe the effects of American imperialism, including: • Spanish-American War • Annexation of Hawaii • Panama Canal • Philippine Insurrection • Access to Cuba • Roosevelt Corollary"
us-history-geography,US.24,"Explain the reasons for American entry into World War I, including: the use of unrestricted submarine warfare, the Zimmerman Telegram, the defense of democracy, and economic motivations.","Compare and contrast the motivations behind President Theodore Roosevelt’s Big Stick diplomacy (i.e., militarism/expansionism), President William Howard Taft’s Dollar Diplomacy (i.e., economics), and President Woodrow Wilson’s Moral Diplomacy (i.e., nationalism)."
us-history-geography,US.25,"Identify and explain the impact of the following on World War I (T.C.A. § 49-6-1006):
• Trench warfare
• Use of new weapons and technology
• Harlem Hell Fighters
• Herbert Hoover
• John J. Pershing
• Alvin C. York","Explain the causes of World War I, including militarism, alliances, nationalism, imperialism, assassination, and the reasons for the initial declaration of U.S. neutrality."
us-history-geography,US.26,"Analyze the political, economic, and social ramifications of World War I on the home front, including:
• Role played by women and minorities
• Voluntary rationing
• Committee on Public Information
• Opposition by conscientious objectors
• Schenck v. United States decision","Explain the reasons for U.S. entry into World War I, including the use of unrestricted submarine warfare, the Zimmerman Telegram, the defense of democracy, and economic motivations."
us-history-geography,US.27,"Analyze the significance of President Woodrow Wilson’s Fourteen Points, the causes and effects of the U.S. rejection of the League of Nations, and the subsequent impact on world politics.",Identify and explain the impact of the following on World War I (T.C.A. § 49-6-1006): • Trench warfare • Use of new weapons and technology • John J. Pershing • Harlem Hell Fighters • Alvin C. York
us-history-geography,US.28,Analyze the impact of the Great Migration of African Americans that began in the early 1900s from the rural South to the industrial regions of the Northeast and Midwest. (T.C.A. § 49-6-1006),"Analyze the political, economic, and social ramifications of World War I on the home front, including: • Role played by women and minorities • Voluntary rationing • Committee on Public Information (i.e., Creel Committee) • Opposition by conscientious objectors • Schenck v. United States decision"
us-history-geography,US.29,"Describe the growth and effects that radio and movies played in the emergence of popular culture as epitomized by celebrities such as Charlie Chaplin, Charles Lindbergh, and Babe Ruth.","Analyze the significance of President Woodrow Wilson’s contributions to the Treaty of Versailles, including the Fourteen Points, the causes and effects of the U.S. rejection of the League of Nations, and the subsequent impact on world politics."
us-history-geography,US.30,"Examine the growth and popularity of country and blues music, including the rise of: the Grand Ole Opry, W.C. Handy, and Bessie Smith. (T.C.A. § 49-6-1006)",Analyze the impact of the Great Migration of African Americans that began in the post-World War I era from the rural South to the industrial regions of the Northeast and Midwest. (T.C.A. § 49-6-1006)
us-history-geography,US.31,"Describe the impact of new technologies of the era, including the advent of air travel and spread of electricity.","Describe the growth and effects that radio and movies played in the emergence of popular culture, such as advertising, celebrities, news, and entertainment."
us-history-geography,US.32,"Describe the impact of Henry T. Ford, the automobile, and the mass production of automobiles on the American economy and society.","Examine how the use of the radio helped grow the popularity of country and blues music, including the rise of the Grand Ole Opry, W.C. Handy, and Bessie Smith. (T.C.A. § 49 -6-1006)"
us-history-geography,US.33,"Describe the Harlem Renaissance, its impact, and important figures, including (T.C.A. § 49-6-1006):
• Louis Armstrong
• Duke Ellington
• Langston Hughes
• Zora Neale Hurston","Describe the impact of new technologies of the era, including the advent of air travel and spread of electricity."
us-history-geography,US.34,"Describe changes in the social and economic status of women during this era, including: flappers, birth control, clerical and office jobs, and the rise of women’s colleges.","Describe the impact of Henry T. Ford, the automobile, and the mass production of automobiles on the American economy and society."
us-history-geography,US.35,"Examine challenges related to civil liberties and racial/ethnic tensions during this era, including (T.C.A. § 49-6-1006):
• First Red Scare
• Immigration Quota Acts of the 1920s
• Resurgence of the Ku Klux Klan
• Efforts of Ida B. Wells
• Emergence of Garveyism
• Rise of the NAACP","Analyze the impact of the Harlem Renaissance and its important figures on American culture, including (T.C.A. § 49- 6-1006): • Louis Armstrong • Duke Ellington • Langston Hughes • Zora Neale Hurston • James Weldon Johnson"
us-history-geography,US.36,"Describe the Scopes Trial of 1925, including: the major figures, two sides of the controversy, the outcome, and legacy.","Describe changes and limitations in the social and economic status of women during this era, including flappers, birth control, clerical and office jobs, and the rise of women’s colleges."
us-history-geography,US.37,"Describe the impacts of Prohibition on American society, including: the rise of organized crime, bootlegging, and speakeasies.","Examine challenges and advancements related to the push for civil liberties, including (T.C.A. § 49-6- 1006): • First Red Scare • Immigration Quota Acts of the 1920s • Resurgence of the Ku Klux Klan • Black Wallstreet and Tulsa Massacre • Rise of the NAACP • Efforts of Ida B. Wells-Barnett • Emergence of Garveyism"
us-history-geography,US.38,"Analyze the changes in the economy and culture of the U.S. as a result of credit expansion, consumerism, and financial speculation.","Describe the Scopes Trial of 1925, including the major figures (i.e., John Scopes, William Jennings Bryan, and Clarence Darrow), two sides of the controversy (i.e., fundamentalism and modernism), the outcome, and the legacy."
us-history-geography,US.39,"Analyze the causes of the Great Depression, including:
• Bank failures
• Buying on margin
• Crash of the stock market
• Excess consumerism
• High tariffs
• Laissez-faire politics
• Overextension of credit
• Overproduction in agriculture and manufacturing
• Rising unemployment","Describe the impacts of the 18th Amendment and Prohibition on American society, including the rise of organized crime, bootlegging, speakeasies, and the eventual repeal with the 21st Amendment."
us-history-geography,US.40,"Analyze the causes of the Dust Bowl, and explain the social, geographic, and economic impacts.","Analyze the advantages and disadvantages of President Warren G. Harding's and President Calvin Coolidge's economic policies and their impact on culture of the United States as a result of credit expansion, consumerism, and financial speculation."
us-history-geography,US.41,"Describe the impact of the Great Depression on the American people, including: mass unemployment, migration, and Hoovervilles.","Analyze the causes of the Great Depression, including: • Bank failures • Laissez-faire politics • Buying on margin • Overextension of credit • Crash of the stock market • Overproduction in agriculture • Excess consumerism in manufacturing • High tariffs • Rising unemployment"
us-history-geography,US.42,"Describe the steps taken by President Herbert Hoover to address the depression, including his: philosophy of “Rugged Individualism,” public works projects, the Reconstruction Finance Corporation, and response to the “Bonus Army.”","Explain the causes of the Dust Bowl, and its social, geographic, and economic impacts."
us-history-geography,US.43,"Analyze the impact of the relief, recovery, and reform efforts of President Franklin D. Roosevelt’s New Deal programs, including:
• Agricultural Adjustment Act
• Civilian Conservation Corps
• Fair Labor Standards Act
• Federal Deposit Insurance Corporation
• National Recovery Administration
• Securities and Exchange Commission
• Social Security
• Tennessee Valley Authority
• Works Progress Administration","Describe the impact of the Great Depression on the American people, including mass unemployment, migration, and Hoovervilles."
us-history-geography,US.44,"Analyze the effects of and the controversies arising from New Deal economic policies, including charges of socialism and President Franklin D. Roosevelt’s “court packing” attempt.","Describe the steps taken by President Herbert Hoover to address the depression, including his philosophy of “Rugged Individualism,” public works projects, the Reconstruction Finance Corporation, and response to the “Bonus Army.”"
us-history-geography,US.45,"Explain the rise and spread of fascism, communism, and totalitarianism internationally.","Analyze the impact of the relief, recovery, and reform efforts of President Franklin D. Roosevelt’s New Deal programs, including: • Agricultural Adjustment Act • Civilian Conservation Corps • Securities and Exchange Commission • Fair Labor Standards Act • Social Security • Federal Deposit Insurance • Tennessee Valley Authority • Works Progress Administration • National Recovery Administration"
us-history-geography,US.46,"Explain President Franklin D. Roosevelt’s response to world crises, including: the Quarantine Speech, the Four Freedoms speech, the Atlantic Charter, and the Lend-Lease Act.","Analyze the effects of and the controversies arising from New Deal economic policies, including charges of socialism and President Franklin D. Roosevelt’s “court packing” attempt."
us-history-geography,US.47,"Analyze the response of the U.S. to the plight of European Jews before the start of the war, the U.S. liberation of concentration camps during the war, and the immigration of Holocaust survivors after the war.","Explain the rise and spread of fascism, communism, and totalitarianism internationally, including the following leaders: • Adolf Hitler • Benito Mussolini • Joseph Stalin • Hideki Tojo"
us-history-geography,US.48,"Explain the reasons for American entry into World War II, including the attack on Pearl Harbor.","Explain the progression of key events and President Franklin D. Roosevelt’s response to world crises that lead to U.S. entry into World War II, including the Quarantine Speech, the Four Freedoms Speech, the Atlantic Charter, the Lend-Lease Act, and Pearl Harbor."
us-history-geography,US.49,"Identify the roles and the significant actions of the following individuals in World War II:
• Winston Churchill
• Dwight D. Eisenhower
• Adolf Hitler
• Douglas MacArthur
• George C. Marshall
• Benito Mussolini
• President Franklin D. Roosevelt
• Joseph Stalin
• Hideki Tojo
• President Harry S. Truman","Analyze the response of the United States to the plight of European Jews before the start of the war, the U.S. liberation of concentration camps during the war, and the immigration of Holocaust survivors after the war."
us-history-geography,US.50,"Explain the role of geographic and military factors on the outcomes of battles in the Pacific and European theaters of war, including the Battles of Midway, Iwo Jima, Okinawa, and D-Day.","Explain the role of key figures, geography and military factors on the outcomes of battles in the Pacific, European, and North African theaters of war, including: • Winston Churchill • Dwight D. Eisenhower • Douglas MacArthur • George Patton • President Harry S. Truman • Battles of Midway, Iwo Jima, and Okinawa • Normandy • Battle of the Bulge • Invasion of Sicily • Actions of the 101st Airborne"
us-history-geography,US.52,Examine and explain the entry of large numbers of women into the workforce and armed forces during World War II and the subsequent impact on American society.,"Examine the impact of World War II on economic and social conditions for African Americans, including the Fair Employment Practices Committee and the eventual integration of the armed forces by President Harry S. Truman. (T.C.A. § 49-6-1006)"
us-history-geography,US.53,"Examine the impact of World War II on economic and social conditions for African Americans, including the Fair Employment Practices Committee and the eventual integration of the armed forces by President Harry S. Truman. (T.C.A. § 49-6-1006)","Explore the effects of the large-scale growth of women entering the work force and military during World War II and the subsequent impact on American society, including Rosie the Riveter, Cornelia Fort, and the Women's Army Corp."
us-history-geography,US.55,"Describe the war’s impact on the home front, including:
• Rationing
• Bond drives
• Propaganda
• Movement to cities and industrial centers
• Bracero program
• Conversion of factories for wartime production
• Location of prisoner of war camps in Tennessee","Describe the war’s impact on the home front, including: • Rationing • Bracero program • Zoot Suit Riots • Bond drives • Conversion of factories for wartime • Propaganda production • Movement to cities and industrial areas"
us-history-geography,US.57,Explain the major outcomes of the Yalta and Potsdam Conferences.,"Explain the major outcomes of the Yalta and Potsdam Conferences (e.g., the separation of Germany, emergence of the threat of the atomic bomb, dispersal of Eastern European nations, and rising tensions between the United States and Soviet Union)."
us-history-geography,US.61,"Analyze the causes and effects of the Second Red Scare, including: Americans’ attitudes toward McCarthyism, blacklisting, and Julius and Ethel Rosenberg.","Describe the causes, course, and consequences of the Korean War, including: • Domino theory • Entry of communist China • 38th parallel • Final division of the Korean Peninsula"
us-history-geography,US.62,"Describe the causes, course, and consequences of the Korean War, including:
• Domino theory
• 38th parallel
• Battle of Inchon
• Entry of the communist Chinese
• Final division of the Koreas","Explain how containment influenced Cold War policies during Dwight D. Eisenhower’s administration, including brinksmanship, “peaceful coexistence,” and the issue of the military-industrial complex."
us-history-geography,US.63,"Explain Cold War policies during President Dwight D. Eisenhower’s administration, including brinksmanship and “peaceful coexistence.”","Analyze the causes and effects of the Second Red Scare, including Americans' attitudes toward McCarthyism, blacklisting, House Un-American Activities Committee (i.e., HUAC), and Julius and Ethel Rosenberg."
us-history-geography,US.64,"Explain the fears of Americans surrounding nuclear holocaust, debates over stockpiling, and the use of nuclear weapons, including:
• Atomic testing
• Civil defense
• Fallout shelters
• Impact of Sputnik
• Mutual assured destruction","Analyze the impact of prosperity and consumerism in the 1950s, including the growth of white-collar jobs, the “suburban ideal,” the impacts of and disproportionate access to the G.I. Bill, and the increased reliance on foreign oil."
us-history-geography,US.65,"Describe the relationship between Cuba and the U.S., including the Bay of Pigs Invasion and Cuban Missile Crisis.",Explain the impact of the baby boomer generation on the U.S. economy and culture.
us-history-geography,US.66,"Describe the causes, course, and consequences of the Vietnam War, including:
• Geneva Accords
• Gulf of Tonkin Resolution
• Tet Offensive
• Vietnamization
• Ho Chi Minh
• Bombing of Cambodia
• Napalm and Agent Orange","Describe domestic developments during Dwight D. Eisenhower's administration, including: • Polio vaccine • Interstate Highway System • Growth of suburbia • Hotel chains • Fast food chains"
us-history-geography,US.67,"Compare the policies and practices of Presidents John F. Kennedy, Lyndon Johnson, and Richard Nixon and their impacts on the continuation of the Vietnam War.","Analyze the increasing impact of television and mass media on American homes, politics, and the economy."
us-history-geography,US.68,"Evaluate the impact of the Vietnam War on the home front, including: the anti-war movement, draft by lottery, and the role of television and the media.","Describe the emergence of a youth culture, including beatniks and the progression of popular music (from swing to rhythm and blues to rock ‘n’ roll), and the impact of Tennessee on the music industry, including the influence of B.B. King, Elvis Presley, Stax Records, and Sun Studio. (T.C.A. § 49-6-1006)"
us-history-geography,US.69,Describe the competition between the U.S. and Soviet Union for superiority in space.,"Explain the fears of Americans surrounding nuclear holocaust, debates over stockpiling, and the use of nuclear weapons, including: • Atomic testing • Civil defense • Mutual assured destruction • Fallout shelters"
us-history-geography,US.70,"Explain developments that eased tensions during the Cold War, including:
• President Richard Nixon’s detente
• President Jimmy Carter’s SALT Treaties
• President Ronald Reagan and Mikhail Gorbachev’s INF Treaty
• The fall of the Berlin Wall","Describe the relationship between Cuba and the United States, including the Bay of Pigs Invasion and Cuban Missile Crisis."
us-history-geography,US.71,"Analyze the impact of prosperity and consumerism in the 1950s, including: the growth of white-collar jobs, the “suburban ideal,” the impact of the G.I. Bill, and the increased reliance on foreign oil.","Describe the competition between the United States and Soviet Union for superiority in space (i.e., Sputnik and the development of NASA, Operation Paperclip), including its effects on the American education system and industry."
us-history-geography,US.72,Explain the impact of the baby boomer generation on the American economy and culture.,"Describe the goals of President John F. Kennedy’s New Frontier programs to improve education, end racial discrimination, create the Peace Corps, and put a man on the moon."
us-history-geography,US.73,"Describe domestic developments during President Dwight D. Eisenhower’s administration, including advances in medicine and the creation of the Interstate Highway System.","Describe the goals of President Lyndon Johnson’s Great Society programs, including Medicare, urban renewal, and the War on Poverty."
us-history-geography,US.74,"Describe the growing influence of the automobile on American society, including the growth of: suburbia, fast food chains, and the hotel industry.","Examine the decision and impacts of Brown v. Board of Education on the desegregation of schools, such as Scarboro 85, Clinton 12 and Little Rock 9. (T.C.A. § 49-6-1006)"
us-history-geography,US.75,"Analyze the increasing impact of television and mass media on the American home, politics, and economy.",Analyze the impact of Emmitt Till's murder and the use of mass media on the trajectory of the Civil Rights Movement.
us-history-geography,US.76,"Describe the emergence of a youth culture, including beatniks and the progression of popular music (from swing to rhythm and blues to rock ‘n’ roll), and the impact of Tennessee on the music industry, including the influence of B.B. King, Elvis Presley, Stax Records, and Sun Studio. (T.C.A. § 49-6-1006)","Examine the roles and actions of civil rights advocates (e.g., Dr. Martin Luther King, Jr., Malcolm X, John Lewis, Diane Nash, Thurgood Marshall, Rosa Parks) and opponents (e.g., Bull Connor, Orval Faubus, George Wallace, Strom Thurmond). (T.C.A. § 49-6-1006)"
us-history-geography,US.77,"Describe President John F. Kennedy’s New Frontier programs to improve education, end racial discrimination, create the Peace Corps, and put a man on the moon.","Describe the significant events in the struggle to secure civil rights for African Americans, including: (T.C.A. § 49-6-1006) • Highlander Folk School • Montgomery Bus Boycott • Tent City in Fayette County, TN • Nashville sit-ins • Freedom Riders • Birmingham bombings of 1963 • Freedom Summer • March on Washington, D.C. • March on Selma • Memphis sanitation strike and assassination of Dr. Martin Luther King, Jr."
us-history-geography,US.78,Examine the decision and impact of Brown v. Board of Education on desegregation. (T.C.A. § 49-6-1006),"Analyze civil and voting rights legislation, including the Civil Rights Act of 1964, the Voting Rights Act of 1965, the Civil Rights Act of 1968 (i.e., Fair Housing Act), and the 24th Amendment. (T.C.A. § 49-6-1006)"
us-history-geography,US.79,"Examine the roles and actions of civil rights advocates (e.g., Malcolm X, Thurgood Marshall, Rosa Parks) and opponents (e.g., Bull Connor, Orval Faubus, Strom Thurmond) and how they coincided with, confronted, and challenged each other. (T.C.A. § 49-6-1006)","Analyze how the American Indian Movement, Chicano Movement, and Feminist Movement are related to the Civil Rights Movement in advancing equality across the broader spectrum of American society during this time period."
us-history-geography,US.80,"Describe the significant events in the struggle to secure civil rights for African Americans, including: (T.C.A. § 49-6-1006)
• Montgomery Bus Boycott
• Integration of Clinton High School in Clinton, TN
• Integration of Central High School in Little Rock, AR
• Freedom Riders
• Tent City in Fayette County, TN
• Marches, demonstrations, boycotts, and sit-ins (e.g., Nashville)
• March on Washington, D.C.
• Birmingham bombings of 1963
• Assassination of Martin Luther King, Jr.
• Highlander Folk School","Describe the policies of Presidents' Kennedy, Johnson, and Nixon, and the causes, consequences, and progression of the Vietnam War, including: • Escalation • Geneva Accords • Gulf of Tonkin Resolution • Ho Chi Minh • Napalm and Agent Orange • Tet Offensive • Vietnamization"
us-history-geography,US.81,"Analyze civil and voting rights legislation, including: the Civil Rights Act of 1964, the Voting Rights Act of 1965, the Civil Rights Act of 1968 (i.e., Fair Housing Act), and the 24th Amendment. (T.C.A. § 49-6-1006)","Describe the impact of the Vietnam War on the home front, including: • Anti-war movement • Draft by lottery • Effects of Agent Orange • Post-Traumatic Stress Disorder • Role of television and the media"
us-history-geography,US.82,"Analyze how the American Indian Movement, Chicano Movement, and Feminist Movement are related to the Civil Rights Movement in advancing equality across the broader spectrum of American society during this time period.","Analyze different points of view that reflect the rise of social activism and the growth counterculture, including generation gap, hippies, and Woodstock."
us-history-geography,US.83,"Evaluate the impact of President Lyndon Johnson’s Great Society programs, including: Medicare, urban renewal, and the War on Poverty.","Explain the events of President Richard Nixon’s administration, including his appeal to the “silent majority,"" detente, SALT, and open relationship with China."
us-history-geography,US.84,"Analyze different points of view that reflect the rise of social activism and the growth of counterculture, including: generation gap, hippies, and Woodstock.","Examine the Watergate scandal, including: • Background of the break-in • Changing role of media and journalism • Legacy of distrust (e.g., government) • United States vs. Nixon • Controversy surrounding President Gerald Ford’s pardon"
us-history-geography,US.85,"Explain significant achievements of President Richard Nixon’s administration, including his appeal to the “silent majority” and his major foreign policy actions.","Explain the emergence of environmentalism, including the creation of the Environmental Protection Agency and disasters such as Love Canal and Three Mile Island."
us-history-geography,US.86,"Examine the Watergate scandal, including:
• Background of the break-in
• Changing role of media and journalism
• Legacy of distrust
• Controversy surrounding President Gerald Ford’s pardon
• United States v. Nixon","Identify and explain the events of Jimmy Carter’s administration, including: • Crisis of Confidence speech • Poor economy • Energy crisis • Panama Canal Treaty • Iran Hostage Crisis • Camp David Accords"
us-history-geography,US.87,"Explain the emergence of environmentalism, including the creation of the Environmental Protection Agency and disasters such as Love Canal and Three Mile Island.","Identify and explain the events of President Ronald Reagan’s administration, including: • Resurgence of nationalism • “War on Drugs” • Reaganomics • Strategic Defense Initiative • Iran-Contra affair • AIDS epidemic • Challenger disaster • Appointment of Sandra Day O’Connor"
us-history-geography,US.89,"Analyze the significance of President Ronald Reagan’s administration, including:
• Revitalization of national pride
• Reaganomics
• Iran-Contra affair
• “War on Drugs”
• Strategic Defense Initiative
• AIDS epidemic","Identify and explain the events of President Bill Clinton’s administration, including: • NAFTA • Welfare-to-work • Scandals and subsequent impeachment • Balanced budget hearings • Family Medical Leave Act • Humanitarian efforts in Bosnia- Herzegovina • The widespread use of the internet"
us-history-geography,US.90,"Describe the significant events of President George H.W. Bush’s administration, including the invasion of Panama and the Gulf War.","Describe the impact of the September 11, 2001 terrorist attacks on the World Trade Center and the Pentagon, including the response of President George W. Bush and the USA PATRIOT Act."
us-history-geography,US.91,"Summarize the events of President Bill Clinton’s administration, including:
• Welfare-to-work
• Balanced budget
• NAFTA
• Scandals and subsequent impeachment hearings","Identify and explain the events of President George W. Bush’s administration, including: • No Child Left Behind • Wars in Afghanistan and Iraq • Economic recession (i.e., housing market crisis)"
us-history-geography,US.92,"Describe the impact of the September 11, 2001 terrorist attacks on the World Trade Center and the Pentagon, including: the response of President George W. Bush, wars in Afghanistan and Iraq, and continued efforts to combat terrorism globally.","Describe the increasing role of women and minorities in American military, politics, and economy, including (T.C.A. § 49-6-1006): • Hillary Clinton • Colin Powell • Condoleezza Rice • Nancy Pelosi • Sonia Sotomayor"
us-history-geography,US.93,"Describe the increasing role of women and minorities in the American military, politics, and economy, including (T.C.A. § 49-6-1006):
• Hillary Clinton
• Sandra Day O’Connor
• Nancy Pelosi
• Colin Powell
• Condoleezza Rice",Explain how the legislative and judicial branches expanded the scope of the 14th amendment including: • Individuals with Disabilities Education Act • Americans with Disabilities Act • Obergefell vs. Hodges
us-history-geography,US.94,"Compare and contrast commonly used methods of communication from 1970 to today, and analyze the impact they have had on society.",Identify and explain the events of Barack Obama’s administration including: • The Affordable Care Act • Every Student Succeeds Act • American presense in the Middle East
world-history-geography,W.01,"Describe the concept of the divine right of kings as well as the features, strengths, and weaknesses of European absolutism, including: Louis XIV, Versailles, and Peter the Great.","Describe the types of kingdoms, leaders, and government systems in major world regions during the 18th century."
world-history-geography,W.02,"Compare documents that establish limits on government in response to absolute monarchy (e.g., the Magna Carta and the English Bill of Rights).","Compare major contributions of philosophers and scientists during the Age of Enlightenment and Scientific Revolution, such as: • Sir Francis Bacon • Cesare Beccaria • Galileo Galilei • Johannes Kepler • John Locke • Charles-Louis de Montesquieu • Isaac Newton • Jean-Jacques Rosseau • Mary Wollstonecraft"
world-history-geography,W.03,"Compare the major ideas of philosophers during the Age of Enlightenment, such as Charles-Louis de Montesquieu, Thomas Hobbes, John Locke, and Jean-Jacques Rousseau.","Identify the major causes (e.g., social, political, economic) of the French Revolution, and trace the evolution of France's government, including Enlightenment political thought, storming of the Bastille, execution of Louis XVI, and the reign of terror."
world-history-geography,W.04,Examine the causes and consequences of the English Civil War.,"Explain the geographic, political, and social factors that contributed to the rise and fall of Napoleon Bonaparte’s empire."
world-history-geography,W.05,"Identify the major causes of the French Revolution, including the impact of: The American Revolution; Conflicting social classes; Economic factors; Enlightenment political thought; Government corruption and weakness",Describe social and economic tensions within colonized regions in Latin America.
world-history-geography,W.06,"Summarize the major events of the French Revolution (e.g., storming of the Bastille, execution of Louis XVI, reign of terror), and trace the evolution of France's government from constitutional monarchy to democratic despotism to the Napoleonic Empire.","Explain the global effects of Latin American revolutions, including those in Haiti, Bolivia, Argentina, and Mexico."
