disposition,code_2026_27,code_2027_28,code_moved,similarity,text_2026_27,text_2027_28,cluster_2027_28,era_2027_28
unchanged,7.06,7.21,yes,1.00,"Summarize the effects of the Mongolian empires on the Silk Roads, including the importance of Marco Polo's travels on the spread of Chinese technology and Eurasian trade.","Summarize the effects of the Mongolian empires on the Silk Roads, including the importance of Marco Polo’s travels on the spread of Chinese technology and Eurasian trade.",East Asia: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.07,7.22,yes,1.00,"Analyze the achievements of the Ming Dynasty and reasons for its isolationism, including building projects (e.g., the Forbidden City and reconstruction of the Great Wall) and Zheng He's sea voyages.","Analyze the achievements of the Ming Dynasty and reasons for its isolationism, including building projects (e.g., the Forbidden City and reconstruction of the Great Wall) and Zheng He’s sea voyages.",East Asia: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.08,7.23,yes,1.00,Describe the origins and central features of Shintoism: • Key Person(s): None • Sacred Texts: No sacred text • Basic Beliefs: localized tradition that focuses on ritual practices that are carried out with discipline to maintain connections with ancient past; animism and Kami,Describe the origins and central features of Shintoism: • Key Person(s): None • Sacred Texts: No sacred text • Basic Beliefs: localized tradition that focuses on ritual practices that are carried out with discipline to maintain connections with ancient past; animism and Kami,East Asia: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.09,7.24,yes,1.00,Explain how Japanese culture changed through Chinese and Korean influences (including Buddhism and Confucianism) as shown in the Constitution of Prince Shotoku and the adoption of the Chinese writing system.,Explain how Japanese culture changed through Chinese and Korean influences (including Buddhism and Confucianism) as shown in the Constitution of Prince Shotoku and the adoption of the Chinese writing system.,East Asia: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.10,7.25,yes,0.68,Describe how the Heian aristocracy contributed to the development of a Japanese national culture.,"Describe how the Heian aristocracy contributed to the development of a Japanese national culture, including politics, art, language, and literature (e.g., Tale of Genji as the world's first novel).",East Asia: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.11,7.26,yes,1.00,Analyze the rise of a military society in the late 12th century and the role of the shogun and samurai in Japanese society.,"Analyze the rise of a military society in the late 12th century, and the role of the shogun and samurai in Japanese society.",East Asia: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.27,7.27,no,0.77,"Identify and locate geographical features of Europe, including: • Alps • Atlantic Ocean • English Channel • Mediterranean Sea • Influence of the North Atlantic Drift • North European Plain • Ural Mountains","Identify and locate on a map geographical features of Europe, including: • Alps • Atlantic Ocean • English Channel • Iberian Peninsula • Mediterranean Sea • North European Plain",Middle Ages in Western Europe: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.28,7.28,no,0.86,Describe the role of monasteries in the preservation of knowledge and spread of the Catholic Church beyond the Alps.,Describe the role of monasteries in the preservation of knowledge and the spread of the Catholic Church across Central and Western Europe.,Middle Ages in Western Europe: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.29,7.29,no,1.00,"Explain how Charlemagne shaped and defined medieval Europe, including: his impact on feudalism, the creation of the Holy Roman Empire, and the establishment of Christianity as the religion of the Empire.","Explain how Charlemagne shaped and defined medieval Europe, including his impact on feudalism, the creation of the Holy Roman Empire, and the establishment of Christianity as the religion of the Empire.",Middle Ages in Western Europe: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.30,7.30,no,0.78,"Describe the development of feudalism and manorialism, their role in the medieval European economy, and the way in which they were influenced by physical geography (i.e., the role of the manor and the growth of towns).","Describe the development of feudalism and manorialism, and their influence on the medieval European economy (i.e., the role of the manor and the growth of towns).",Middle Ages in Western Europe: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.31,7.31,no,0.74,Analyze the Battle of Hastings and the long-term historical impact of William the Conqueror on England and Northern France.,"Explain the Battle of Hastings and the long-term historical effects of William the Conqueror on England and Northern France, including the impact on language and the spread of feudalism.",Middle Ages in Western Europe: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.32,7.32,no,0.79,Describe how political relationships both fostered cooperation and led to conflict between the Papacy and European monarchs.,"Describe how political relationships both fostered cooperation (i.e., Charlemagne and Pope Leo III) and led to conflict (i.e., Henry IV and Pope Gregory VII) between the Papacy and European monarchs.",Middle Ages in Western Europe: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.33,7.33,no,1.00,"Analyze the impact of the Magna Carta, including: limiting the power of the monarch, the rule of law, and the right to trial by jury.","Analyze the impact of the Magna Carta, including limiting the power of the monarch, the rule of law, and the right to trial by jury.",Middle Ages in Western Europe: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.34,7.34,no,0.88,"Analyze the causes, effects, and key people of the 1st, 2nd, and 3rd Crusades, including: Pope Urban II, Saladin, and Richard I.","Analyze the overarching causes, effects, and key people of the Crusades, including Pope Urban II, Saladin, and Richard I.",Middle Ages in Western Europe: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.35,7.35,no,1.00,"Explain how the Crusades impacted Christian, Muslim, and Jewish populations in Europe, with emphasis on the increasing contact with cultures outside Europe.","Explain how the Crusades impacted Christian, Muslim, and Jewish populations in Europe, with emphasis on the increasing contact with cultures outside Europe.",Middle Ages in Western Europe: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.36,7.36,no,1.00,"Describe the economic and social effects of the spread of the Black Death (i.e., Bubonic Plague) from Central Asia to China, the Middle East, and Europe, and its impact on the global population.","Describe the economic and social effects of the spread of the Black Death (i.e., Bubonic Plague) from Central Asia to China, the Middle East, and Europe, and its impact on the global population.",Middle Ages in Western Europe: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.37,7.37,no,0.81,"Analyze the importance of the Black Death on the emergence of a modern economy, including: • Agricultural improvements • A merchant class • Commerce • Technological improvements • Growth of banking • Towns","Analyze the importance of the Black Death on the emergence of a modern economy, including: • Agricultural improvements • Commerce • Decline of feudalism • Growth of banking • Growth of towns • A merchant class",Middle Ages in Western Europe: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.38,7.38,no,0.84,"Describe the significance of the Hundred Years War, including the roles of Henry V in shaping English culture and language and Joan of Arc in promoting a peaceful end to the war.","Describe the significance of the Hundred Years War, including the roles of Henry V in shaping English culture and language, and Joan of Arc becoming a symbol of French pride and cultural identity.",Middle Ages in Western Europe: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
new,,7.39,,,,"Describe the rise of Spanish and Portuguese kingdoms in the Iberian Peninsula, and explain the significance of the Reconquista and Inquisition.",Middle Ages in Western Europe: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
new,,7.40,,,,"Describe the Moorish (i.e., Muslim) and Jewish influences on the Renaissance in cities such as Toledo, Cordoba, and Granada.",The Renaissance,Early Modern Europe: 1400-1700s AD
unchanged,7.40,7.41,yes,1.00,"Explain how the location of the Italian Peninsula impacted the movement of resources, knowledge, and culture throughout Italy's independent trade cities.","Explain how the location of the Italian Peninsula impacted the movement of resources, knowledge, and culture throughout Italy’s independent trade cities.",The Renaissance,Early Modern Europe: 1400-1700s AD
revised,7.41,7.42,yes,0.86,"Identify the importance of Florence, Italy and the Medici Family in the early stages of the Renaissance.","Identify the importance of Florence, Italy, and the Medici Family in the early stages of the Renaissance, including the role of patronage.",The Renaissance,Early Modern Europe: 1400-1700s AD
new,,7.43,,,,"Define humanism, and explain how maintaining a balance between faith and reason influenced Renaissance thinkers.",The Renaissance,Early Modern Europe: 1400-1700s AD
new,,7.44,,,,"Analyze the development of Renaissance art, including the significance of: • Leonardo da Vinci (e.g., Last Supper, Mona Lisa) • Michelangelo (e.g., Sistine Chapel, The David) • Filippo Brunelleschi (e.g., Florence Cathedral Dome, linear perspective) • William Shakespeare (e.g., literature, language, and plays)",The Renaissance,Early Modern Europe: 1400-1700s AD
unchanged,7.44,7.45,yes,1.00,"Analyze Johannes Gutenberg's printing press and William Tyndale's translation of the Bible into the English language as vehicles for the spread of books, growth of literacy, and dissemination of knowledge.","Analyze Johannes Gutenberg’s printing press and William Tyndale’s translation of the Bible into the English language as vehicles for the spread of books, growth of literacy, and dissemination of knowledge.",The Protestant Reformation,Early Modern Europe: 1400-1700s AD
unchanged,7.45,7.46,yes,1.00,"Explain the significant causes of the Protestant Reformation, including: the Catholic Church's taxation policies, the selling of indulgences, and Martin Luther's 95 Theses.","Explain the significant causes of the Protestant Reformation, including the Catholic Church’s taxation policies, the selling of indulgences, and Martin Luther’s 95 Theses.",The Protestant Reformation,Early Modern Europe: 1400-1700s AD
unchanged,7.46,7.47,yes,0.96,"Analyze the development of the Protestant Reformation and the split with the Catholic Church, including: the emphasis on scripture alone, salvation by faith, and predestination.","Analyze the development of the Protestant Reformation and the split with the Catholic Church, including the emphasis on scripture alone, salvation by faith, and predestination (e.g., John Calvin).",The Protestant Reformation,Early Modern Europe: 1400-1700s AD
revised,7.47,7.48,yes,0.93,Explain the political and religious roles of Henry VIII and Mary I in England's transition between Catholicism and Protestantism.,"Explain the political and religious roles of Henry VIII, Mary I, and Elizabeth I in England's transition between Catholicism and Protestantism.",The Protestant Reformation,Early Modern Europe: 1400-1700s AD
unchanged,7.49,7.49,no,1.00,"Examine the Golden Age of the Tudor dynasty (i.e., Queen Elizabeth I), including the defeat of the Spanish Armada and the rise of English power in Europe.","Examine the Golden Age of the Tudor dynasty (i.e., Queen Elizabeth I), including the defeat of the Spanish Armada and the rise of English power in Europe.",The Protestant Reformation,Early Modern Europe: 1400-1700s AD
unchanged,7.48,7.50,yes,1.00,"Analyze how the Catholic Counter-Reformation emerged as a response to Protestantism and revitalized the Catholic Church, including the significance of: St. Ignatius of Loyola, the Jesuits, and the Council of Trent.","Analyze how the Catholic Counter-Reformation emerged as a response to Protestantism and revitalized the Catholic Church, including the significance of St. Ignatius of Loyola, the Jesuits, and the Council of Trent.",The Protestant Reformation,Early Modern Europe: 1400-1700s AD
revised,7.50,7.51,yes,0.87,"Compare and contrast heliocentric and geocentric theories of the Greeks (geocentric), Copernicus (heliocentric), and Kepler (elliptical orbits).","Compare and contrast scientific theories of the Greeks (i.e., geocentric), Copernicus (i.e., heliocentric), and Kepler (i.e., elliptical orbits).",The Scientific Revolution,Early Modern Europe: 1400-1700s AD
unchanged,7.51,7.52,yes,1.00,"Examine Galileo Galilei's theories and improvement of scientific tools, including the telescope and microscope.","Examine Galileo Galilei’s theories and improvement of scientific tools, including the telescope and microscope.",The Scientific Revolution,Early Modern Europe: 1400-1700s AD
unchanged,7.52,7.53,yes,1.00,Explain the significance of the following in regards to the Scientific Revolution: Sir Francis Bacon in establishing the scientific method and Sir Isaac Newton's three Laws of Motion.,Explain the significance of the following in regards to the Scientific Revolution: Sir Francis Bacon in establishing the scientific method and Sir Isaac Newton’s three Laws of Motion.,The Scientific Revolution,Early Modern Europe: 1400-1700s AD
unchanged,7.53,7.54,yes,0.98,"Identify and locate the geographical features of the Americas, including: • Andes Mountains • Appalachian Mountains • Atlantic Ocean • Caribbean Sea • Central Mexican Plateau • Great Plains • Gulf of Mexico • Mississippi River • North America • Pacific Ocean • Rocky Mountains • South America • Yucatan Peninsula","Identify and locate on a map the geographical features of the Americas, including: • Andes Mountains • Appalachian Mountains • Atlantic Ocean • Caribbean Sea • Central Mexican Plateau • Great Plains • Gulf of Mexico • Mississippi River • North America • Pacific Ocean • Rocky Mountains • South America • Yucatan Peninsula",Indigenous Civilizations of the Americas: 400-1500s AD,Early Modern Europe: 1400-1700s AD
revised,7.54,7.55,yes,0.90,"Explain the impact of geographic features on North American Indian cultures (i.e., Northeast, Southeast, and Plains), including: clothing, housing, and agriculture.","Explain the impact of geographic features on North American Indian cultures (i.e., Northeast, Southeast, Plains, Southwest, Pacific Northwest), including clothing, housing, and agriculture.",Indigenous Civilizations of the Americas: 400-1500s AD,Early Modern Europe: 1400-1700s AD
revised,7.55,7.56,yes,0.94,"Describe the existence of diverse networks of North American Indian cultures (within present-day United States) including: varied languages, customs, and economic and political structures.","Describe the existence of diverse networks of North American Indian cultures and sovereign nations (within present-day United States), including varied languages, customs, and economic and political structures.",Indigenous Civilizations of the Americas: 400-1500s AD,Early Modern Europe: 1400-1700s AD
unchanged,7.56,7.57,yes,1.00,"Explain the impact of geographic features and climate on the agricultural practices and settlement of the Maya, Aztec, and Incan civilizations.","Explain the impact of geographic features and climate on the agricultural practices and settlement of the Maya, Aztec, and Incan civilizations.",Indigenous Civilizations of the Americas: 400-1500s AD,Early Modern Europe: 1400-1700s AD
unchanged,7.57,7.58,yes,1.00,"Describe the social, economic, and political characteristics of the Maya, Aztec, and Incan civilizations, including: oral traditions, class structures, religious beliefs, slavery, and advancements (e.g., astronomy, mathematics, and calendar).","Describe the social, economic, and political characteristics of the Maya, Aztec, and Incan civilizations, including oral traditions, class structures, religious beliefs, slavery, and advancements (e.g., astronomy, mathematics, and calendar).",Indigenous Civilizations of the Americas: 400-1500s AD,Early Modern Europe: 1400-1700s AD
revised,7.60,7.59,yes,0.93,"Describe Prince Henry the Navigator's influence on exploration, voyages, cartographic improvements, and tools related to exploration (i.e., compass, caravel, astrolabe, and Harrison's chronometer) during the Age of Discovery.","Describe Prince Henry the Navigator’s influence on exploration, voyages, cartographic improvements, and tools related to exploration (i.e., compass, caravel, astrolabe) during the Age of Discovery.",The Age of Exploration: 1400-1700s AD,Early Modern Europe: 1400-1700s AD
unchanged,7.58,7.60,yes,1.00,"Analyze why European countries were motivated to explore the world, including: religion, political rivalry, and economic gain (i.e., mercantilism).","Analyze why European countries were motivated to explore the world, including religion, political rivalry, and economic gain (i.e., mercantilism).",The Age of Exploration: 1400-1700s AD,Early Modern Europe: 1400-1700s AD
unchanged,7.59,7.61,yes,0.97,"Identify the significance of the voyages and routes of discovery of the following explorers by their sponsoring country: • England: Henry Hudson • France: Jacques Cartier • Portugal: Vasco da Gama, Bartolomeu Dias • Spain: Christopher Columbus, Hernando de Soto, Ferdinand Magellan, Amerigo Vespucci","Explain the significance of the voyages and routes of discovery of the following explorers by their sponsoring country: • England: Henry Hudson • France: Jacques Cartier • Portugal: Vasco da Gama, Bartolomeu Dias • Spain: Christopher Columbus, Hernando de Soto, Ferdinand Magellan, Amerigo Vespucci",The Age of Exploration: 1400-1700s AD,Early Modern Europe: 1400-1700s AD
new,,7.62,,,,"Identify on a map French, Spanish, English, Dutch and Portuguese colonies in the Americas, and describe how the distributions of religions (e.g., Catholic and Protestant) in Europe affected the distribution of religions and colonization in the New World.",The Age of Exploration: 1400-1700s AD,Early Modern Europe: 1400-1700s AD
unchanged,7.64,7.63,yes,1.00,"Explain the impact of the Columbian Exchange on people, plants, animals, technology, culture, ideas, and diseases among Europe, Africa, Asia, and the Americas in the 15th and 16th centuries, and examine the major economic and social effects on each continent.","Explain the impact of the Columbian Exchange on people, plants, animals, technology, culture, ideas, and diseases among Europe, Africa, Asia, and the Americas in the 15th and 16th centuries, and examine the major economic and social effects on each continent.",The Age of Exploration: 1400-1700s AD,Early Modern Europe: 1400-1700s AD
unchanged,7.62,7.64,yes,1.00,"Describe how the Aztec and Inca empires were eventually defeated by Spanish Conquistadors (i.e., Hernan Cortes and Francisco Pizarro).","Describe how the Aztec and Inca empires were eventually defeated by Spanish Conquistadors (i.e., Hernan Cortes and Francisco Pizarro).",The Age of Exploration: 1400-1700s AD,Early Modern Europe: 1400-1700s AD
revised,7.65,7.65,no,0.65,"Explain how Spanish colonization introduced Christianity, the mission system, and the encomienda system to the Americas as well as Bartolome de la Casa's role in the transition to African slavery.","Explain the impact of Spanish colonization in the Americas, including the introduction and spread of Christianity, the mission system, the encomienda system, and the role of Bartolome de la Casa.",The Age of Exploration: 1400-1700s AD,Early Modern Europe: 1400-1700s AD
retired,7.03,,,,"Summarize agricultural, commercial, and technological developments during the Song Dynasties, and describe the role of Confucianism during the Song.",,,
retired,7.05,,,,"Describe Kublai Khan's conquest of China, and explain how he was able to maintain control of the Yuan Empire.",,,
retired,7.24,,,,"Describe the role of the Trans-Saharan caravan trade in the changing religious and cultural characteristics of West Africa and in the exchange of salt, gold, and slaves.",,,
retired,7.39,,,,"Explain the significance of the Reconquista, Inquisition, and the rise of Spanish and Portuguese kingdoms in the Iberian Peninsula.",,,
retired,7.42,,,,"Explain humanism, and describe how Thomas Aquinas's writings influenced humanistic thought and fostered a balance between reason and faith.",,,
retired,7.43,,,,"Explain the development of Renaissance art, including the significance of: • Leonardo da Vinci • Michelangelo • William Shakespeare • Systems of patronage",,,
retired,7.61,,,,"Locate and identify French, Spanish, English, Portuguese, and Dutch colonies in the Americas, and explain how religion impacted the location of settlement by each country.",,,
retired,7.63,,,,Locate and identify the European regions that remained Catholic and those that became Protestant and how that division affected the distribution of religions in the New World.,,,
