disposition,code_2026_27,code_2027_28,code_moved,similarity,text_2026_27,text_2027_28,cluster_2027_28,era_2027_28
unchanged,GC.20,GC.27,yes,1.00,Explain the processes of selection and confirmation of Supreme Court justices.,Explain the processes of selection and confirmation of Supreme Court justices.,The Judicial Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.21,GC.28,yes,0.60,Explain the process of judicial review established by Marbury v. Madison.,"Explain the principle of judicial review established by Marbury v. Madison, and how it is used as a check on other branches of federal and state governments.",The Judicial Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
unchanged,GC.08,GC.29,yes,1.00,Analyze how the Bill of Rights limits the powers of the government and ensures individual rights. (T.C.A. § 49-6-1028),Analyze how the Bill of Rights limits the powers of the government and ensures individual rights. (T.C.A. § 49-6-1028),Civil Rights and Civil Liberties,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.30,,,,"Analyze the First Amendment and its application to freedom of speech in historical and contemporary Supreme Court cases, including Schenck v. United States and Tinker v. Des Moines.",Civil Rights and Civil Liberties,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.31,,,,"Analyze the First Amendment and its application to freedom of religion in historical and contemporary Supreme Court cases, including Engel v. Vitale and Wisconsin v. Yoder.",Civil Rights and Civil Liberties,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.32,,,,"Analyze the First Amendment and its application to freedom of press in historical and contemporary Supreme Court cases, including New York Times Co. v. United States and Hazelwood School District v. Kuhlmeier.",Civil Rights and Civil Liberties,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.33,,,,"Describe the Supreme Court’s interpretations of the Second Amendment, including: • District of Columbia vs. Heller • McDonald vs. Chicago • The New York State Rifle and Pistol Association, Inc. vs. Bruen",Civil Rights and Civil Liberties,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.25,GC.34,yes,0.92,"Evaluate the Supreme Court's interpretations of freedoms in the 4th through 8th Amendments, including: Mapp v. Ohio; Gideon v. Wainwright; Miranda v. Arizona","Describe the Supreme Court’s interpretations of freedoms in the Fourth through Eighth Amendments, including: • Mapp vs. Ohio • Gideon vs. Wainwright • Miranda vs. Arizona",Civil Rights and Civil Liberties,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.35,,,,"Describe the Supreme Court’s interpretations of the freedoms in the 14th Amendment, equal protection, and due process clauses, including: • Plessy vs. Ferguson and Brown vs. Board of Education • Roe vs. Wade and Dobbs vs. Jackson’s Women’s Health Organization • Loving vs. Virginia and Obergefell vs. Hodges",Civil Rights and Civil Liberties,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.36,,,,Explain how constitutional provisions have supported and motivated social movements to expand the rights for under-represented groups.,Civil Rights and Civil Liberties,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.37,,,,"Explain how the government has responded to social movements (e.g., Civil Rights Act of 1964, Title IX, Americans with Disabilities Act).",Civil Rights and Civil Liberties,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.38,,,,"Explain developments in voting rights over time (e.g., 15th amendment, 19th amendment, Citizenship Act of 1924, Voting Rights Act of 1965, 24th Amendment, 26th Amendment, Shelby County v. Holder).",Civil Rights and Civil Liberties,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.28,GC.39,yes,0.77,"Identify the functions of departments and agencies of the executive, legislative, and judicial branches in the state of Tennessee.","Identify the structures and functions of the executive, legislative, and judicial departments in the state of Tennessee.",Tennessee State and Local Government,GC | UNITED STATES GOVERNMENT AND CIVICS
unchanged,GC.29,GC.40,yes,1.00,"Explain the differences among the types of local governments in Tennessee, including county, city, and metro governments, as well as the legal, fiscal, and operational relationships between them and the state government.","Explain the differences among the types of local governments in Tennessee, including county, city, and metro governments, as well as the legal, fiscal, and operational relationships between them and the state government.",Tennessee State and Local Government,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.41,,,,Identify current government officials at the state and local level.,Tennessee State and Local Government,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.31,GC.42,yes,0.67,"Describe what should be reasonably expected from any citizen or resident of the U.S., and explain why it is important for the well-being of the nation, including: Being informed on civic issues; Obeying the law; Paying taxes; Respecting the rights of others; Serving as a juror; Serving in the military or alternative service; Volunteering and performing public service; Voting","Describe what should be reasonably expected from any citizen or resident of the United States, and explain why it is important for the well-being of the nation, including: • Being informed on civic issues • Serving in the military or alternative service • Obeying the law • Paying taxes • Volunteering and performing public service • Respecting the rights of others • Serving as a juror • Engaging in the voting process • Understanding unalienable rights",Citizen Participation,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.43,,,,Explain why civic engagement is important for the well-being of the nation and local communities.,Citizen Participation,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.44,,,,Evaluate the benefits and challenges of digital news and social media to a democratic society.,Citizen Participation,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.45,,,,"Explain methods for evaluating information and opinion in print and online media (e.g., identifying author's purpose, determining the credibility of news articles, analyzing the messages of editorials and op-ep commentaries, assessing the validity of claims and sufficiency of evidence).",Citizen Participation,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.34,GC.46,yes,0.69,"Describe the means that citizens use to participate in the political process, including: Campaigning; Demonstrating; Lobbying; Petitioning; Running for office; Voting","Describe opportunities for citizens to participate in the political process and to monitor and influence government, including: • Campaigning • Petitioning • Demonstrating • Running for office • Lobbying • Voting",Citizen Participation,GC | UNITED STATES GOVERNMENT AND CIVICS
unchanged,GC.35,GC.47,yes,0.96,"Explain the requirements to be considered a natural-born U.S. citizen, and describe the process of naturalization, including the knowledge required by the Naturalization Test.","Explain the requirements to be considered a U.S. citizen, and describe the process of naturalization, including the knowledge required by the Naturalization Test.",Citizen Participation,GC | UNITED STATES GOVERNMENT AND CIVICS
retired,GC.01,,,,"Examine the influences of leading European thinkers (e.g., John Locke, Charles-Louis Montesquieu, Thomas Hobbes) and other roots of American government (e.g., Greek democracy, Roman republic, Magna Carta).",,,
retired,GC.09,,,,"Define the concepts of democracy and republic, and examine the relationship between the two.",,,
retired,GC.13,,,,Describe the process of how a bill becomes a law.,,,
retired,GC.15,,,,"Describe the powers of U.S. Congress, including: Appropriations; Commerce; Confirmations; Declaration of war; Implied powers; Necessary and proper clause",,,
retired,GC.16,,,,"Analyze Article II of the Constitution as it relates to the executive branch, including: Appointments; Commander-in-chief of the military; Eligibility for office; Executive orders; Length of term (22nd Amendment); Oath of office; Powers of the president; Succession (25th Amendment); Treaties",,,
retired,GC.22,,,,Describe the Supreme Court's role in determining the constitutionality of laws and acts of the legislative and executive branches.,,,
retired,GC.23,,,,"Evaluate the Supreme Court's interpretations of the freedoms articulated in the 1st Amendment, including: Schenck v. United States; Engel v. Vitale; Tinker v. Des Moines; Lemon v. Kurtzman; New York Times v. United States; Miller v. California; Texas v. Johnson",,,
retired,GC.24,,,,"Explain the 2nd Amendment, and evaluate its various interpretations.",,,
retired,GC.26,,,,"Evaluate the Supreme Court's interpretations of the freedoms in the 14th Amendment, equal protection, and due process clauses, including: Plessy v. Ferguson; Gitlow v. New York; Brown v. Board of Education; Roe v. Wade; Obergefell v. Hodges",,,
retired,GC.27,,,,"Identify and explain legislation and legal precedents that established rights for the underserved, including Title IX and the Americans with Disabilities Act.",,,
retired,GC.32,,,,"Explain the role of political parties in the nomination process for presidential candidates and the importance of and difference between primaries, caucuses, and general elections.",,,
retired,GC.33,,,,Describe the role of the media as a means of communicating information and how it influences the importance of issues and public opinion.,,,
