disposition,code_2026_27,code_2027_28,code_moved,similarity,text_2026_27,text_2027_28,cluster_2027_28,era_2027_28
new,,TN.30,,,,"Describe important Civil War battles in Tennessee by region, including: • Sieges of Fort Henry • Fort Donelson • Battle of Shiloh • Knoxville Campaign • Chattanooga Campaign • Battle of Stones River • Fort Pillow Massacre • Battle of Franklin • Johnsonville Campaign • Battle of Nashville",Tennessee: A Time of Troubles (1860-1865),Tennessee: A Time of Troubles (1860-1865)
revised,TN.30,TN.31,yes,0.95,"Identify the contributions of Tennesseans during the Civil War, including: Sam Davis; William Driver; David Farragut; Nathan Bedford Forrest; Isham Harris; Andrew Johnson; Sam Watkins","Identify the influences of Tennesseans during the Civil War, including • Sam Davis • William Driver • David Farragut • Nathan Bedford Forrest • Isham Harris • Andrew Johnson • Sam Watkins",Tennessee: A Time of Troubles (1860-1865),Tennessee: A Time of Troubles (1860-1865)
new,,TN.32,,,,"Describe the importance of the Medal of Honor, its origins in Tennessee, and its continued legacy to present-day.",Tennessee: A Time of Troubles (1860-1865),Tennessee: A Time of Troubles (1860-1865)
new,,TN.33,,,,Explain the significance of the Sultana disaster.,Tennessee: A Time of Troubles (1860-1865),Tennessee: A Time of Troubles (1860-1865)
unchanged,TN.31,TN.34,yes,1.00,"Describe how the Civil War impacted various populations in Tennessee (e.g., African Americans, American Indians, and women).","Describe how the Civil War impacted various populations in Tennessee (e.g., African Americans, American Indians, and women).",Tennessee during Reconstruction (1865-1880),Tennessee during Reconstruction (1865-1880)
unchanged,TN.32,TN.35,yes,1.00,Explain William Brownlow’s role in the development of Reconstruction.,Explain William Brownlow’s role in the development of Reconstruction.,Tennessee during Reconstruction (1865-1880),Tennessee during Reconstruction (1865-1880)
revised,TN.33,TN.36,yes,0.56,Discuss the impeachment of President Andrew Johnson and its impact both nationally and in Tennessee.,Explain the impacts of impeachment of President Andrew Johnson.,Tennessee during Reconstruction (1865-1880),Tennessee during Reconstruction (1865-1880)
unchanged,TN.34,TN.37,yes,1.00,"Describe the rise, influence, and opposition of the Ku Klux Klan in Tennessee.","Describe the rise, influence, and opposition of the Ku Klux Klan in Tennessee.",Tennessee during Reconstruction (1865-1880),Tennessee during Reconstruction (1865-1880)
unchanged,TN.35,TN.38,yes,1.00,"Explain the development and efforts of the Freedmen’s Bureau schools, including Fisk University.","Explain the development and efforts of the Freedmen’s Bureau schools, including Fisk University.",Tennessee during Reconstruction (1865-1880),Tennessee during Reconstruction (1865-1880)
revised,TN.36,TN.39,yes,0.65,"Identify early elected black lawmakers and leaders in Tennessee (e.g., Sampson Keeble and William Yardley), and determine their significance.","Identify and describe the significance of of early elected black lawmakers and leaders (e.g., John W. Boyd, Sampson Keeble, and William Yardley).",Tennessee during Reconstruction (1865-1880),Tennessee during Reconstruction (1865-1880)
revised,TN.37,TN.40,yes,0.89,Explain the development of the 1870 Tennessee Constitution. (T.C.A. § 49-6-1028),"Explain the development, legacy, and changes of the 1870 Tennessee Constitution. (T.C.A. § 49-6- 1028)",Tennessee during Reconstruction (1865-1880),Tennessee during Reconstruction (1865-1880)
new,,TN.41,,,,"Describe the experiences of exodusters, including Benjamin “Pap” Singleton.",Tennessee during Reconstruction (1865-1880),Tennessee during Reconstruction (1865-1880)
unchanged,TN.39,TN.42,yes,1.00,Explain developments in Tennessee’s farming during the late 19th century as a result of industrialization.,Explain developments in Tennessee’s farming during the late 19th century as a result of industrialization.,Tennessee in the New South (1880-1890s),Tennessee in the New South (1880-1890s)
unchanged,TN.40,TN.43,yes,1.00,"Describe the social, economic, and political changes to Tennessee in the post-Reconstruction era, and identify the laws put in place to exclude black lawmakers by 1890.","Describe the social, economic, and political changes to Tennessee in the post-Reconstruction era, and identify the laws put in place to exclude black lawmakers by 1890.",Tennessee in the New South (1880-1890s),Tennessee in the New South (1880-1890s)
unchanged,TN.41,TN.44,yes,1.00,Discuss the impact of the yellow fever epidemic on Memphis.,Discuss the impact of the yellow fever epidemic on Memphis.,Tennessee in the New South (1880-1890s),Tennessee in the New South (1880-1890s)
unchanged,TN.42,TN.45,yes,1.00,Describe the events that led to the Coal Creek Wars in Anderson and the surrounding counties over the state of Tennessee’s decision to replace coal miners with prisoners.,Describe the events that led to the Coal Creek Wars in Anderson and the surrounding counties over the state of Tennessee’s decision to replace coal miners with prisoners.,Tennessee in the New South (1880-1890s),Tennessee in the New South (1880-1890s)
unchanged,TN.43,TN.46,yes,1.00,"Describe Tennessee’s Centennial Exposition, and explain its significance.","Describe Tennessee’s Centennial Exposition, and explain its significance.",Tennessee in the New South (1880-1890s),Tennessee in the New South (1880-1890s)
revised,TN.44,TN.47,yes,0.81,"Analyze the effect of Jim Crow laws on Tennessee, and identify the efforts of advocates for African Americans, including the significance of: W.E.B. Du Bois, James Napier, and Mary Church Terrell.","Analyze the effects of Jim Crow laws on Tennessee, including the efforts of advocates for African Americans: • W.E.B. Du Bois • James Napier • Mary Church Terrell • Ida B. Wells-Barnett",Tennessee in the New South (1880-1890s),Tennessee in the New South (1880-1890s)
unchanged,TN.45,TN.48,yes,1.00,"Summarize the influence of and reactions to the temperance movement in Tennessee, including the murder of Senator Edward Carmack.","Summarize the influence of and reactions to the temperance movement in Tennessee, including the murder of Senator Edward Carmack.",Tennessee: Reform and War (1900-1945),Tennessee: Reform and War (1900-1945)
revised,TN.46,TN.49,yes,0.90,"Describe Tennessee’s impact on the suffrage movement, including the following: “Perfect 36,” Harry Burn, Anne Dallas Dudley, and A.H. Roberts.","Describe Tennessee’s impact on the suffrage movement, including Harry Burn, Anne Dallas Dudley, and A.H. Roberts.",Tennessee: Reform and War (1900-1945),Tennessee: Reform and War (1900-1945)
unchanged,TN.47,TN.50,yes,1.00,"Explain Tennessee’s connection to World War I, including the impact of Alvin C. York and the Alcoa plant.","Explain Tennessee’s connection to World War I, including the impact of Alvin C. York and the Alcoa plant.",Tennessee: Reform and War (1900-1945),Tennessee: Reform and War (1900-1945)
unchanged,TN.48,TN.51,yes,1.00,Identify Governor Austin Peay and his influence on Tennessee’s infrastructure and education.,Identify Governor Austin Peay and his influence on Tennessee’s infrastructure and education.,Tennessee: Reform and War (1900-1945),Tennessee: Reform and War (1900-1945)
unchanged,TN.49,TN.52,yes,1.00,Analyze how the Scopes Trial reflected societal tension between tradition and modernity.,Analyze how the Scopes Trial reflected societal tension between tradition and modernity.,Tennessee: Reform and War (1900-1945),Tennessee: Reform and War (1900-1945)
revised,TN.50,TN.53,yes,0.74,"Describe major developments in country music (e.g., Grand Ole Opry, WSM, and the Carter family) and blues music (e.g., W.C. Handy and Bessie Smith) in Tennessee during this era.","Describe major developments in music in Tennessee during this era: • Country Music (e.g., Grand Ole Opry, WSM, Carter family, Bristol Sessions) • Blues Music (e.g., W.C. Handy and Bessie Smith)",Tennessee: Reform and War (1900-1945),Tennessee: Reform and War (1900-1945)
new,,TN.54,,,,"Analyze how the Great Depression and New Deal programs impacted Tennesseans, including: • Agricultural Adjustment Act • Civilian Conservations Corps • Tennessee Valley Authority • Great Smoky Mountains National Park",Tennessee: Reform and War (1900-1945),Tennessee: Reform and War (1900-1945)
revised,TN.52,TN.55,yes,0.77,"Analyze the impact Tennessee innovators (e.g., David Crosthwait and Clarence Saunders) had on the nation.","Explain the impact Tennessee innovators had on the nation (e.g., David Crosthwait and Clarence Saunders).",Tennessee: Reform and War (1900-1945),Tennessee: Reform and War (1900-1945)
new,,TN.56,,,,"Describe Tennessee’s contributions during World War II, including the impact of Camp Forrest, Camp Tyson, and Oak Ridge (e.g., Manhattan Project) as well as the influence of Tennesseans during the war (e.g., Cornelia Fort and Cordell Hull).",Tennessee: Reform and War (1900-1945),Tennessee: Reform and War (1900-1945)
unchanged,TN.54,TN.57,yes,1.00,Describe major agricultural shifts in Tennessee post-World War II and their impact economically and socially.,Describe major agricultural shifts in Tennessee post-World War II and their impact economically and socially.,Tennessee in Modern Times (1945-present),Tennessee in Modern Times (1945-present)
unchanged,TN.55,TN.58,yes,0.98,"Analyze the significance of key Tennesseans on both the state and national level during the 1950s and 1960s, including: Frank Clement, Ed Crump, Al Gore, Sr., Estes Kefauver, and John Seigenthaler.","Analyze the significance of key Tennesseans on both state and national levels during the 1950s and 1960s, including: • Frank Clement • Ed Crump • Al Gore, Sr. • Estes Kefauver • John Seigenthaler",Tennessee in Modern Times (1945-present),Tennessee in Modern Times (1945-present)
revised,TN.56,TN.59,yes,0.77,"Describe Tennessee’s role in the Civil Rights Movement (e.g., sit-ins and Diane Nash, Highlander Folk School, Tent City Movement of Fayette County, Columbia Race Riots, and the Clinton Twelve). (T.C.A. § 49-6-1006)","Describe Tennessee’s role in the Civil Rights Movement, including: • Sit-ins • Diane Nash • John Lewis • Highlander Folk School • Tent City Movement of Fayette County • Columbia Race Riots • Scarboro 85 and the Clinton 12 (T.C.A. § 49-6-1006)",Tennessee in Modern Times (1945-present),Tennessee in Modern Times (1945-present)
unchanged,TN.57,TN.60,yes,1.00,"Identify major Tennessee figures involved in the Civil Rights Movement (e.g., Rev. James Lawson, Kelly Miller Smith). (T.C.A. § 49-6-1006)","Identify major Tennessee figures involved in the Civil Rights Movement (e.g., Rev. James Lawson, Kelly Miller Smith). (T.C.A. § 49-6-1006)",Tennessee in Modern Times (1945-present),Tennessee in Modern Times (1945-present)
unchanged,TN.58,TN.61,yes,1.00,"Describe the purpose of Martin Luther King, Jr.’s presence in Memphis, the circumstances leading to his assassination, and the significance of the placement of the National Civil Rights Museum at the Lorraine Motel. (T.C.A. § 49-6-1006)","Describe the purpose of Martin Luther King, Jr.’s presence in Memphis, the circumstances leading to his assassination, and the significance of the placement of the National Civil Rights Museum at the Lorraine Motel. (T.C.A. § 49-6-1006)",Tennessee in Modern Times (1945-present),Tennessee in Modern Times (1945-present)
unchanged,TN.59,TN.62,yes,1.00,"Discuss the development of rock ‘n’ roll music in Tennessee and its impact on the changing American culture, including the significance of: Elvis Presley, Stax Records, and Sun Studio.","Discuss the development of rock ‘n’ roll music in Tennessee and its impact on the changing American culture, including the significance of Elvis Presley, Stax Records, and Sun Studio.",Tennessee in Modern Times (1945-present),Tennessee in Modern Times (1945-present)
unchanged,TN.60,TN.63,yes,0.99,"Describe cultural developments in Tennessee during the 1970s and 1980s, including: Country Music Hall of Fame, Music Row, Opryland, and the 1982 World’s Fair.","Describe cultural developments in Tennessee during the 1970s and 1980s, including the Country Music Hall of Fame, Music Row, Opryland, and the 1982 World’s Fair.",Tennessee in Modern Times (1945-present),Tennessee in Modern Times (1945-present)
revised,TN.61,TN.64,yes,0.75,"Identify the contributions of influential Tennesseans of the era, including: Lamar Alexander; Alex Haley; Pat Summitt; Howard Baker; Dolly Parton; Fred Thompson; Al Gore, Jr.; Wilma Rudolph; Oprah Winfrey","Identify the contributions of influential Tennesseans of the era, including: • Lamar Alexander • Howard Baker • Al Gore, Jr. • Alex Haley • Dolly Parton • Wilma Rudolph • Pat Summitt • Fred Thompson • Oprah Winfrey",Tennessee in Modern Times (1945-present),Tennessee in Modern Times (1945-present)
revised,TN.62,TN.65,yes,0.93,"Identify major attractions and events that fuel the tourism industry in Tennessee, including the impact of: Bristol Motor Speedway; Pigeon Forge (Gatlinburg); Civil War sites; State and national parks; CMA Music Festival; Tennessee Aquarium; Graceland","Identify major attractions and events that fuel the tourism industry in Tennessee, including the impact of: • Bristol Motor Speedway • Pigeon Force (e.g., Gatlinburg) • Civil War sites • State and national parks • CMA Music Festival • Tennessee Aquarium • Graceland • National Civil Rights Museum",Tennessee in Modern Times (1945-present),Tennessee in Modern Times (1945-present)
revised,TN.63,TN.66,yes,0.94,"Discuss the impact of major businesses in Tennessee, such as: AutoZone; Nissan; Eastman; Toyota; FedEx; Volkswagen; HCA","Discuss the impact of major businesses in Tennessee, for example: • AutoZone • Nissan • Eastman • Toyota • FedEx • Volkswagen • HCA",Tennessee in Modern Times (1945-present),Tennessee in Modern Times (1945-present)
revised,TN.64,TN.67,yes,0.89,"Describe significant and/or unique products from Tennessee (e.g., Cracker Barrel, Goo Goo Cluster, Moon Pie, Mountain Dew).","Describe significant and/or unique products from Tennessee (e.g., Cracker Barrel, Goo Goo Cluster, Moon Pie, Mountain Dew, Jack Daniels/Uncle Nearest).",Tennessee in Modern Times (1945-present),Tennessee in Modern Times (1945-present)
retired,TN.15,,,,"Describe the distribution of slaves between the three grand divisions of Tennessee, the lives of free blacks and slaves, and the role of Tennesseans in the early abolition movement (e.g., Elihu Embree).",,,
retired,TN.19,,,,"Describe Tennessee’s involvement in the War of 1812 (e.g., Tennessee volunteers, Felix Grundy, Andrew Jackson), and analyze the role of American Indians during the war.",,,
retired,TN.29,,,,"Describe Tennessee’s role in the Civil War, including: Sieges of Fort Henry and Fort Donelson; Battle of Shiloh; Battle of Stones River; Chattanooga Campaign; Johnsonville Campaign; Battle of Franklin; Battle of Nashville",,,
retired,TN.38,,,,"Identify exodusters (e.g., Benjamin “Pap” Singleton), and describe their experiences.",,,
retired,TN.51,,,,"Describe how the Great Depression and New Deal programs impacted Tennesseans, including the significance of: the Agricultural Adjustment Act, Civilian Conservation Corps, Tennessee Valley Authority, and Great Smoky Mountains National Park.",,,
retired,TN.53,,,,"Evaluate Tennessee’s contributions during World War II, including the impact of Camp Forrest, Camp Tyson, and Oak Ridge as well as the influence of Tennesseans during the war (e.g., Cornelia Fort and Cordell Hull).",,,
