disposition,code_2026_27,code_2027_28,code_moved,similarity,text_2026_27,text_2027_28,cluster_2027_28,era_2027_28
revised,8.18,8.19,yes,0.64,Explain the historical and present-day significance of the Declaration of Independence. (T.C.A. § 49-6-1028),"Analyze and interpret the Declaration of Independence, and determine the historical and present-day significance of the document. (T.C.A. 49-6-1028)",The American Revolution (1700-1783),The American Revolution (1700-1783)
new,,8.20,,,,"Examine various perspectives of men and women during the American Revolution including, loyalists, patriots, neutral colonists, and persons of African descent.",The American Revolution (1700-1783),The American Revolution (1700-1783)
revised,8.20,8.21,yes,0.93,"Locate and explain the significance of the following during the American Revolution:
• Struggles of the Continental Army
• Battles of Trenton and Princeton
• Battle of Kings Mountain
• Battle of Saratoga
• Battle of Yorktown
• Guerrilla warfare","Identify and explain the significance of the following during the American Revolution: • Struggles of the Continental Army (e.g., Valley Forge) • Battles of Trenton and Princeton • Battle of Kings Mountain • Battles of Saratoga • Battle of Yorktown • Guerrilla warfare",The American Revolution (1700-1783),The American Revolution (1700-1783)
new,,8.22,,,,"Describe the significance of the Northwest Ordinance of 1787 and its impact on the process of gaining statehood, the spread of public education, and the banning of slavery in the territory.",The New Nation (1775-1800),The New Nation (1775-1800)
new,,8.23,,,,"Identify the Articles of Confederation as America’s first constitution, and explain its weaknesses as exemplified by: • Government structure (e.g., one branch, no power to tax) • The Lost State of Franklin • Shays’ Rebellion",The New Nation (1775-1800),The New Nation (1775-1800)
revised,8.22,8.24,yes,0.92,"Describe the roles of James Madison and George Washington during the Constitutional Convention, and analyze the major issues debated, including the Great Compromise and the Three-Fifths Compromise. (T.C.A. § 49-6-1028)","Describe the influence of James Madison during the Constitutional Convention, and analyze the major issues debated, including the Great Compromise and the Three-Fifths Compromise. (T.C.A. § 49-6- 1028)",The New Nation (1775-1800),The New Nation (1775-1800)
new,,8.25,,,,"Examine the principles and purposes of government listed in the Preamble and stated in the Constitution, including: (T.C.A. § 49-6-1028) • Checks and balances • Federalism • Limited government • Popular sovereignty • Separation of powers",The New Nation (1775-1800),The New Nation (1775-1800)
new,,8.26,,,,"Describe the origins of the presidential election process, including the electoral college. (T.C.A. § 49-6- 1028)",The New Nation (1775-1800),The New Nation (1775-1800)
revised,8.24,8.27,yes,0.78,"Describe the conflict between Federalists and Anti-Federalists over the ratification of the Constitution, including the protection of individual rights through the Bill of Rights and concern for states’ rights. (T.C.A. § 49-6-1028)",Describe the conflict between Federalists and Anti-Federalists over the ratification of the Constitution and the Bill of Rights. (T.C.A. 49-6-1028),The New Nation (1775-1800),The New Nation (1775-1800)
revised,8.25,8.28,yes,0.84,"Analyze the major events of the administration of President George Washington, including: the precedents he set, Whiskey Rebellion, and ideas presented in his farewell address.","Analyze the major events of George Washington's administration, including the precedents he set, the Whiskey Rebellion, and ideas presented in his farewell address.",The New Nation (1775-1800),The New Nation (1775-1800)
new,,8.29,,,,"Explain how conflicts between Thomas Jefferson and Alexander Hamilton resulted in the emergence of two political parties, and examine their viewpoints on issues such as foreign policy, economic policy, a national bank, and strict versus loose interpretation of the Constitution.",Growth of a Young Nation (1800-1820),Growth of a Young Nation (1800-1820)
revised,8.27,8.30,yes,0.67,"Explain the controversies that plagued the administration of President John Adams, including: the conflicts with Great Britain and France, the XYZ Affair, and the Alien and Sedition Acts.","Explain the significant domestic and international events that impacted the administration of John Adams, including trade conflicts with Great Britain and France.",Growth of a Young Nation (1800-1820),Growth of a Young Nation (1800-1820)
unchanged,8.28,8.31,yes,0.99,Identify how westward expansion led to the statehood of Tennessee and the importance of the first state constitution (1796). (T.C.A. § 49-6-1028),Identify how westward expansion led to the statehood of Tennessee and the importance of its first state constitution (1796). (T.C.A. § 49-6-1028),Growth of a Young Nation (1800-1820),Growth of a Young Nation (1800-1820)
new,,8.32,,,,"Analyze the effects of the election of 1800, including: • Peaceful transition of power • Midnight judges • Marbury v. Madison (e.g., judicial review)",Growth of a Young Nation (1800-1820),Growth of a Young Nation (1800-1820)
revised,8.30,8.33,yes,0.93,"Explain the major events of Thomas Jefferson’s presidency, including:
• Conflict with the Barbary pirates
• Embargo Act
• Lewis and Clark Expedition
• Louisiana Purchase","Explain the major events of Thomas Jefferson’s administration, including: • Conflict with Barbary Pirates • Embargo Act • Lewis and Clark Expedition • Louisiana Purchase",Growth of a Young Nation (1800-1820),Growth of a Young Nation (1800-1820)
new,,8.34,,,,Evaluate the effectiveness of negotiations between the U.S. government and American Indians during the time period.,Growth of a Young Nation (1800-1820),Growth of a Young Nation (1800-1820)
revised,8.31,8.35,yes,0.66,"Explain the causes, course, and consequences of the War of 1812, including:
• Use of impressment and trade restrictions between the U.S. and Great Britain
• Roles of Andrew Jackson and William Henry Harrison
• Significance of the Treaty of Ghent
• Rise in nationalism in the U.S.","Explain the causes, course, and consequences of the War of 1812, including: • Use of impressment and trade restrictions between the United States and Great Britain • Roles of Andrew Jackson and Tecumseh • Impact on American Indians • Rise of nationalism in the United States",Growth of a Young Nation (1800-1820),Growth of a Young Nation (1800-1820)
revised,8.33,8.36,yes,0.77,Analyze the purpose and effects of the Monroe Doctrine.,Explain the purpose and provisions of the Monroe Doctrine.,Growth of a Young Nation (1800-1820),Growth of a Young Nation (1800-1820)
new,,8.37,,,,"Determine the role played by Chief Justice John Marshall, including key decisions of the Supreme Court, such as Gibbons v. Ogden (i.e., impact on interstate commerce) and McCulloch v. Maryland (i.e., impact on the national bank).",Growth of a Young Nation (1800-1820),Growth of a Young Nation (1800-1820)
revised,8.45,8.38,yes,0.91,"Examine the importance of the elections of 1824 and 1828, including: the corrupt bargain, the spoils system, and Jacksonian Democracy.","Examine the importance of the elections of 1824 and 1828, including expansion of voting rights, the corrupt bargain, the spoils system, and Jacksonian Democracy.",Growth of a Young Nation (1800-1820),Growth of a Young Nation (1800-1820)
new,,8.39,,,,"Determine the historical significance of key events of Andrew Jackson's administration, including the battle with the Bank of the United States and the Nullification Crisis.",Growth of a Young Nation (1800-1820),Growth of a Young Nation (1800-1820)
unchanged,8.47,8.40,yes,1.00,"Describe the impact of the Indian Removal Act and the struggle between the Cherokee Nation and the U.S. government, including the significance of Worcester v. Georgia and the Trail of Tears.","Describe the impact of the Indian Removal Act and the struggle between the Cherokee Nation and the U.S. government, including the significance of Worcester v. Georgia and the Trail of Tears.",Growth of a Young Nation (1800-1820),Growth of a Young Nation (1800-1820)
new,,8.41,,,,"Identify changes to voting rights under the Tennessee Constitution of 1834, including the expansion of voting rights to non-property owners and the removal of voting rights for free African-American men. (T.C.A. 49-6-1028)",Growth of a Young Nation (1800-1820),Growth of a Young Nation (1800-1820)
new,,8.42,,,,"Describe the development of the agrarian economy in the South, including: • The location of the Cotton Belt • The significance of cotton and the cotton gin • The growth of enslavement • The significance of the planter class and yeoman farmers",Sectionalism and Reform (1790s-1850s),Sectionalism and Reform (1790s-1850s)
new,,8.43,,,,"Describe the daily life and culture of enslaved persons in the South prior to the Civil War, such as jobs performed, punishments and consequences, oral history, and the influence of religion and music. (T.C.A. 49-6-1028)",Sectionalism and Reform (1790s-1850s),Sectionalism and Reform (1790s-1850s)
revised,8.36,8.44,yes,0.62,"Identify the conditions of enslavement, and explain how slaves adapted to and resisted bondage in their daily lives, including Nat Turner's revolt.","Explain how enslaved persons resisted bondage in their daily lives, including passive and overt resistance and Nat Turner’s Rebellion.",Sectionalism and Reform (1790s-1850s),Sectionalism and Reform (1790s-1850s)
revised,8.37,8.45,yes,0.76,"Explain the development of the American Industrial Revolution, including:
• Eli Whitney and interchangeable parts
• Emergence of trade unions
• Lowell System
• Role of the textile industry
• Samuel Slater","Explain the development of the American Industrial Revolution, including: • Eli Whitney and interchangeable parts • Role of the textile industry • Mass production • Introduction of women in the work force",Sectionalism and Reform (1790s-1850s),Sectionalism and Reform (1790s-1850s)
revised,8.38,8.46,yes,0.80,Describe how technological developments affected the growth of the industrial economy and cities in the North.,"Explain how technological developments affected the growth of the industrial economy and cities in the North, including working and living conditions.",Sectionalism and Reform (1790s-1850s),Sectionalism and Reform (1790s-1850s)
unchanged,8.39,8.47,yes,0.96,"Identify the push-pull factors for Irish and German immigrants, and describe the impact of their arrival in the U.S. prior to the Civil War.","Identify the push-pull factors for Irish and German immigrants, and describe the impact of their arrival in the United States prior to the Civil War.",Sectionalism and Reform (1790s-1850s),Sectionalism and Reform (1790s-1850s)
revised,8.40,8.48,yes,0.87,"Analyze the development of roads, canals, railroads, and steamboats throughout the U.S., including the Erie Canal and the National Road.","Analyze the development of roads, canals, railroads, and steamboats throughout the United States, including the Erie Canal.",Sectionalism and Reform (1790s-1850s),Sectionalism and Reform (1790s-1850s)
unchanged,8.41,8.49,yes,1.00,Describe the significance of the Second Great Awakening and its influence on reform in the 19th century.,Describe the significance of the Second Great Awakening and its influence on reform in the 19th century.,Sectionalism and Reform (1790s-1850s),Sectionalism and Reform (1790s-1850s)
revised,8.42,8.50,yes,0.72,"Analyze the development of the women’s suffrage movement, including the Seneca Falls Convention, and the ideals of Susan B. Anthony, Elizabeth Cady Stanton, and Sojourner Truth.","Analyze the development of the Woman Suffrage Movement, including the Seneca Falls Convention, and the ideals of reform leaders such as Elizabeth Cady Stanton, Susan B. Anthony, Lucretia Mott and Sojourner Truth.",Sectionalism and Reform (1790s-1850s),Sectionalism and Reform (1790s-1850s)
unchanged,8.43,8.51,yes,0.96,"Analyze the significance of leading abolitionists, including William Lloyd Garrison, Frederick Douglass, Elihu Embree, and Harriet Tubman, and the methods they used to spread the movement.","Analyze the significance of leading abolitionists, including William Lloyd Garrison, Frederick Douglass, and Harriet Tubman, and the methods they used to spread the movement.",Sectionalism and Reform (1790s-1850s),Sectionalism and Reform (1790s-1850s)
revised,8.49,8.52,yes,0.74,"Analyze the concept of Manifest Destiny and its impact on the development of the nation, and describe the economic incentives for westward expansion.","Analyze the concept of Manifest Destiny and its impact on the development of the nation, including economic incentives for westward expansion, impact on American Indians, and the territorial expansion of slavery.",Expansion and Division of the Nation (1820s-1860s),Expansion and Division of the Nation (1820s-1860s)
unchanged,8.50,8.53,yes,1.00,"Explain the reasons for and the provisions of the Missouri Compromise (i.e., Compromise of 1820) and its impact on expansion.","Explain the reasons for and the provisions of the Missouri Compromise (i.e., Compromise of 1820) and its impact on expansion.",Expansion and Division of the Nation (1820s-1860s),Expansion and Division of the Nation (1820s-1860s)
new,,8.54,,,,"Describe the motivations for American settlements in Mexican-ruled Texas after 1821 and the causes of the Texas War for Independence, and determine the legacy of the Alamo, including Davy Crockett and Sam Houston.",Expansion and Division of the Nation (1820s-1860s),Expansion and Division of the Nation (1820s-1860s)
revised,8.52,8.55,yes,0.82,"Analyze the reasons for and outcomes of groups moving west, including the significance of:
• Fur traders
• Mormons
• Oregon Trail
• Santa Fe Trail","Analyze the reasons for and outcomes of groups moving west, including the significance of: • Fur traders • Mormons • Families on the Oregon Trail • Opportunities for women and African Americans",Expansion and Division of the Nation (1820s-1860s),Expansion and Division of the Nation (1820s-1860s)
revised,8.53,8.56,yes,0.55,"Identify the major events and impact of James K. Polk’s presidency, including the annexation of Texas and the settlement of the Oregon boundary.","Identify the major events and impact of James K. Polk's administration, including: • Settlement of the Oregon boundary • The annexation of Texas • Border disputes over the Rio Grande River • Mexican-American War • Mexican Cession",Expansion and Division of the Nation (1820s-1860s),Expansion and Division of the Nation (1820s-1860s)
unchanged,8.55,8.57,yes,0.97,"Analyze the discovery of gold in California, its social and economic impact on the U.S., and the major migratory movement (including the forty-niners and Asian immigrants).","Analyze the discovery of gold in California, its social and economic impact on the United States, and the major migratory movements including the forty-niners and Asian immigrants.",Expansion and Division of the Nation (1820s-1860s),Expansion and Division of the Nation (1820s-1860s)
unchanged,8.56,8.58,yes,0.96,Explain the reasons for and the impact of the Compromise of 1850 (including Henry Clay’s role as “The Great Compromiser”) and the Fugitive Slave Act (including Harriet Beecher Stowe’s influence with Uncle Tom’s Cabin).,"Explain the reasons for and the impact of the Compromise of 1850, including: • Henry Clay’s role as “The Great Compromiser” • Fugitive Slave Act • Harriet Beecher Stowe’s influence with Uncle Tom’s Cabin",Expansion and Division of the Nation (1820s-1860s),Expansion and Division of the Nation (1820s-1860s)
revised,8.58,8.59,yes,0.81,"Explain the motivations behind the passage of the Kansas-Nebraska Act of 1854, and analyze the effects of act, including:
• Rise of the Republican Party
• “Bleeding Kansas”
• Preston Brooks’ attack on Charles Sumner
• John Brown’s raid at Harper’s Ferry","Analyze the motivations and divisional effects of the Kansas-Nebraska Act of 1854, including: • Rise of the Republican Party • “Bleeding Kansas” • Preston Brooks’ attack on Charles Sumner • John Brown’s raid at Harper’s Ferry",Expansion and Division of the Nation (1820s-1860s),Expansion and Division of the Nation (1820s-1860s)
new,,8.60,,,,Analyze the impact of the Supreme Court's 1857 Dred Scott v. Sanford decision on the debate over slavery in the United States.,Expansion and Division of the Nation (1820s-1860s),Expansion and Division of the Nation (1820s-1860s)
unchanged,8.60,8.61,yes,1.00,Explain the arguments presented by Stephen Douglas and Abraham Lincoln on slavery in the Illinois Senate race debates of 1858.,Explain the arguments presented by Stephen Douglas and Abraham Lincoln on slavery in the Illinois Senate race debates of 1858.,Expansion and Division of the Nation (1820s-1860s),Expansion and Division of the Nation (1820s-1860s)
new,,8.62,,,,Describe how sectional division of the United States led to Abraham Lincoln's victory in the election of 1860.,The Civil War (1860-1865),The Civil War (1860-1865)
new,,8.63,,,,Describe the significance of the Battle of Fort Sumter and Tennessee’s struggle over the decision to secede.,The Civil War (1860-1865),The Civil War (1860-1865)
new,,8.64,,,,"Compare and contrast the Union and Confederacy at the outbreak of the Civil War, including: • Military and political leadership • Military strategies • Infrastructure • Agricultural and industrial strengths • Population",The Civil War (1860-1865),The Civil War (1860-1865)
new,,8.65,,,,"Examine the goals, strategies, and outcomes throughout the Civil War, including: • The Union's Campaign (e.g., General Ulysses S. Grant) • The Confederacy's Campaign (e.g., General Robert E. Lee) • General William T. Sherman’s use of total war • Control of Tennessee",The Civil War (1860-1865),The Civil War (1860-1865)
revised,8.64,8.66,yes,0.61,Analyze the significance of the Emancipation Proclamation and the Gettysburg Address.,"Analyze the significance and motivations of the Emancipation Proclamation and the Gettysburg Address and their relationship to the Battle of Antietam and the Battle of Gettysburg, respectively.",The Civil War (1860-1865),The Civil War (1860-1865)
revised,8.65,8.67,yes,0.81,"Describe African American involvement in the Union army, including the Massachusetts 54th Regiment at Fort Wagner and the 13th U.S. Colored Troops in the Battle of Nashville. (T.C.A. § 49-6-1006)","Describe African American involvement in the Union army, including the Massachusetts 54th Regiment at Fort Wagner. (T.C.A. § 49-6-1006)",The Civil War (1860-1865),The Civil War (1860-1865)
new,,8.68,,,,"Examine the technological and medical advancements during the Civil War, and their impact on the role of women and the daily life of the common soldier.",The Civil War (1860-1865),The Civil War (1860-1865)
new,,8.69,,,,"Examine the conclusions of the Civil War, including the passing of the 13th amendment, the Confederate surrender at Appomattox Courthouse, and impact of the assassination of President Lincoln.",The Civil War (1860-1865),The Civil War (1860-1865)
new,,8.70,,,,"Explain the structure of Reconstruction under the Radical Republicans, including: • 14th and 15th amendments • Five military zones • Readmittance of Tennessee into the Union • Southern reaction to northern presence",Reconstruction (1865-1877),Reconstruction (1865-1877)
revised,8.70,8.71,yes,0.94,"Identify the significance of the Tennessee Constitution of 1870, including the right of all men to vote and the establishment of a poll tax. (T.C.A. § 49-6-1028)","Identify the significance of the Tennessee Constitution of 1870, including the right of all men to vote and the authorization of a poll tax. (T.C.A. § 49-6-1028)",Reconstruction (1865-1877),Reconstruction (1865-1877)
revised,8.71,8.72,yes,0.67,"Analyze the conflict between President Andrew Johnson and the Radical Republicans, including Johnson’s veto of the Tenure of Office Act and his impeachment.","Examine the conflict between President Andrew Johnson and the Radical Republicans over Reconstruction, and determine the significance of Johnson’s impeachment.",Reconstruction (1865-1877),Reconstruction (1865-1877)
revised,8.72,8.73,yes,0.66,"Explain the restrictions placed on the rights and opportunities of freedmen, including: racial segregation, black codes, and the efforts of the Freedmen's Bureau to address the problems confronting newly freed slaves.","Explain the opportunities for and restrictions placed on freedmen, including: • Racial segregation • Black codes • The efforts of the Freedmen's Bureau • The emergence of vigilante actions by the Ku Klux Klan",Reconstruction (1865-1877),Reconstruction (1865-1877)
revised,8.75,8.74,yes,0.77,Explain the Compromise of 1877 and its role in ending Radical Reconstruction.,"Explain the outcome of the Election of 1876, including the Compromise of 1877 and its role in ending Radical Reconstruction.",Reconstruction (1865-1877),Reconstruction (1865-1877)
retired,8.01,,,,"Explain the founding and development of Jamestown as the first permanent English colony, its early struggles, the economic and political structure, and role of the Powhatan people.",,,
retired,8.02,,,,"Explain the founding and development of the Plymouth Colony, including the significance of: the Mayflower Compact, interactions with Squanto, and the role of religious freedom.",,,
retired,8.03,,,,"Explain the founding and development of the Massachusetts Bay Colony, including the significance of:
• Anne Hutchinson
• Role of theocracy
• Salem Witch Trials
• Town meetings",,,
retired,8.04,,,,"Explain the motivation for and the founding of the Rhode Island and Connecticut Colonies, including the roles of Roger Williams and Thomas Hooker.",,,
retired,8.05,,,,"Analyze the economic motivation for the Dutch founding New Netherlands, the diverse population of the colony, and the transition to the English colony of New York.",,,
retired,8.06,,,,"Analyze the founding of Pennsylvania as a haven for Quakers and the tolerance that drew many different groups to the colony, including the significance of:
• William Penn
• Philadelphia
• Relationship with American Indians
• Role of women",,,
retired,8.07,,,,"Explain the reasons behind the settlement of the Georgia Colony, including: its designation as a “debtor” colony, its function as a “buffer” colony, and the role of James Oglethorpe in its founding.",,,
retired,8.08,,,,"Locate and identify the Thirteen Colonies, and describe how their location and geographic features influenced regional economic development.",,,
retired,8.09,,,,"Compare and contrast the locations and goals of British, French, and Spanish settlements in North America.",,,
retired,8.10,,,,"Identify the origins and development of slavery in the colonies, overt and passive resistance to enslavement, and the Middle Passage.",,,
retired,8.12,,,,Explain the Navigation Acts and the policy of mercantilism.,,,
retired,8.15,,,,"Analyze the social, political, and economic causes of the events and groups of the American Revolution, including:
• The Quartering Act, 1765
• The Stamp Act, 1765
• The Declaratory Act, 1766
• The Townshend Acts, 1767
• The Boston Massacre, 1770
• The Boston Tea Party, 1773
• Intolerable/Coercive Acts, 1774
• Sons of Liberty",,,
retired,8.19,,,,Compare and contrast the points of view of Loyalists and Patriots.,,,
retired,8.21,,,,"Analyze the strengths and weaknesses of the Articles of Confederation, and describe the Land Ordinance of 1785, the Northwest Ordinance of 1787, the Northwest Territory, the Lost State of Franklin, and Shays’ Rebellion.",,,
retired,8.23,,,,"Examine the principles and purposes of government articulated in the Preamble and principles stated in the Constitution, including: the separation of powers, federalism, and checks and balances. (T.C.A. § 49-6-1028)",,,
retired,8.26,,,,"Explain how conflicts between Thomas Jefferson and Alexander Hamilton resulted in the emergence of two political parties by analyzing their views on foreign policy, economic policy, a national bank, and strict versus loose interpretation of the Constitution.",,,
retired,8.29,,,,Analyze the significance of the election of 1800 and Chief Justice John Marshall’s opinion in Marbury v. Madison.,,,
retired,8.32,,,,Identify and locate the changing boundaries of the U.S. as a result of the Convention of 1818 and the Adams-Onis Treaty.,,,
retired,8.34,,,,"Describe the development of the agrarian economy in the South, the locations of the cotton-producing states, the significance of cotton and the cotton gin, and the founding of Memphis as a center for cotton and the slave trade.",,,
retired,8.35,,,,Analyze the characteristics of Southern society and its influence on the social and political conditions prior to the Civil War.,,,
retired,8.44,,,,"Analyze the role played by Chief Justice John Marshall in strengthening the judicial branch, including the key decisions of the Supreme Court in Gibbons v. Ogden and McCulloch v. Maryland.",,,
retired,8.46,,,,"Examine President Andrew Jackson’s actions regarding the Bank of the U.S. and the Nullification Crisis, and analyze the effects of these events on the nation.",,,
retired,8.48,,,,Identify that the Tennessee Constitution of 1834 expanded voting rights for non-property owners. (T.C.A. 49-6-1028),,,
retired,8.51,,,,"Describe American settlements in Texas after 1821, the causes of the Texas War for Independence, the roles of David Crockett and Sam Houston, and the legacy of the Alamo.",,,
retired,8.54,,,,"Describe the causes and consequences of the Mexican War, including the controversy over the Rio Grande boundary and the Mexican Cession.",,,
retired,8.57,,,,Describe the significance of the Gadsden Purchase of 1853.,,,
retired,8.59,,,,Analyze the Dred Scott v. Sandford decision and the resulting split between the North and South.,,,
retired,8.61,,,,"Describe the election of 1860 and its candidates (i.e., John Bell, Stephen Douglas, Abraham Lincoln, and John Breckinridge), and analyze how the campaigns reflected sectional turmoil in the country.",,,
retired,8.62,,,,"Describe the outbreak of the Civil War and the resulting sectional differences, including:
• Economic, geographic, and technological advances
• Military strategies
• Roles of President Abraham Lincoln and Jefferson Davis
• Significance of Fort Sumter
• Geographical divisions within states",,,
retired,8.63,,,,"Explain the significance of the following battles, events, and leaders during the Civil War, including:
• First Battle of Bull Run
• Battle of Shiloh
• Battle of Antietam
• Battle of Gettysburg
• Battle of Vicksburg
• Sherman’s March to the Sea
• Surrender at Appomattox Court House
• David Farragut
• Nathan Bedford Forrest
• Ulysses S. Grant
• Thomas “Stonewall” Jackson
• Robert E. Lee",,,
retired,8.66,,,,Analyze how the writings of Sam Watkins and Elisha Hunt Rhodes illustrated the daily life of the common soldier.,,,
retired,8.67,,,,Analyze the immediate political impact of the assassination of President Abraham Lincoln and Andrew Johnson’s ascension to the presidency.,,,
retired,8.68,,,,"Explain the significance of the 13th, 14th, and 15th Amendments to the U.S. Constitution.",,,
retired,8.69,,,,"Analyze President Abraham Lincoln’s Ten Percent Plan, President Andrew Johnson’s Plan, and the Radical Republican Plan for Reconstruction.",,,
retired,8.73,,,,"Trace the rise of the Ku Klux Klan and vigilante justice in the South and in Tennessee, including the role of Governor William Brownlow.",,,
retired,8.74,,,,Explain the roles carpetbaggers and scalawags played during Reconstruction.,,,
