disposition,code_2026_27,code_2027_28,code_moved,similarity,text_2026_27,text_2027_28,cluster_2027_28,era_2027_28
unchanged,6.23,6.24,yes,1.00,"Identify the importance of Saul as the first king of Israel, David as the second king who founded Jerusalem as the capital, and Solomon as the third king who built the first temple.","Identify the importance of Saul as the first king of Israel, David as the second king who founded Jerusalem as the capital, and Solomon as the third king who built the first temple.",Ancient Israel: c. 2000-500 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.24,6.25,yes,0.72,"Summarize the breakup of the Kingdom of Israel, Babylonian captivity, and the return of the Jews to their homeland under the Persian Empire.","Explain the Assyrian and Babylonian captivities and exiles after the breakup of the Kingdom of Israel, and the return of the Jews to their homeland under the Persian Empire.",Ancient Israel: c. 2000-500 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.25,6.26,yes,0.79,"Identify and locate geographical features of ancient India, including: Ganges River; Indus River; Himalayan Mountains; Monsoon winds; Indian Ocean; Subcontinent of India","Identify and locate on a map geographical and climatic features of ancient India, including: • Ganges River • Himalayan Mountains • Indian Ocean • Indus River • Monsoon winds • Subcontinent of India",Ancient India: c. 2500-400 BC,6 | SIXTH GRADE SOCIAL STUDIES
new,,6.27,,,,"Analyze the Indus River Valley civilizations of Harappa and Mohenjo-Daro as early agricultural civilizations, and describe their achievements, including: • Architecture built with bricks • Well planned grid system of roads • Sanitation and sewer systems",Ancient India: c. 2500-400 BC,6 | SIXTH GRADE SOCIAL STUDIES
new,,6.28,,,,"Describe the effects of the Aryan migration into India, including changes to religion, social structure, and language.",Ancient India: c. 2500-400 BC,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.27,6.29,yes,1.00,"Describe the social structure of the caste system, and explain its effect on everyday life in ancient India.","Describe the social structure of the caste system, and explain its effect on everyday life in ancient India.",Ancient India: c. 2500-400 BC,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.28,6.30,yes,1.00,"Describe the origins and central features of Hinduism: Key Person(s): origins in Aryan traditions; Sacred Texts: The Vedas; Basic Beliefs: dharma, karma, reincarnation, and moksha","Describe the origins and central features of Hinduism: • Key Person(s): origins in Aryan traditions • Sacred Texts: The Vedas • Basic Beliefs: dharma, karma, reincarnation, and moksha",Ancient India: c. 2500-400 BC,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.29,6.31,yes,1.00,"Describe the origins and central features of Buddhism: Key Person(s): Siddhartha Gautama (Buddha); Sacred Texts: Tripitaka; Basic Beliefs: Four Noble Truths, Eightfold Path, Nirvana","Describe the origins and central features of Buddhism: • Key Person(s): Siddhartha Gautama (Buddha) • Sacred Texts: Tripitaka • Basic Beliefs: Four Noble Truths, Eightfold Path, Nirvana",Ancient India: c. 2500-400 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.30,6.32,yes,0.69,"Identify the long-lasting intellectual traditions that emerged during the late empire of ancient India, including: medical education, medical techniques, and mathematics (e.g., Hindu-Arabic numerals).","Analyze the achievements of ancient India, including medical education, medical techniques, yoga as a Hindu practice, and mathematics (e.g., Hindu-Arabic numerals).",Ancient India: c. 2500-400 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.31,6.33,yes,0.78,"Identify and locate geographical features of ancient China, including: Gobi Desert; Plateau of Tibet; Himalayan Mountains; Yangtze River; Pacific Ocean; Yellow River","Identify and locate on a map geographical features of ancient China, including: • Gobi Desert • Himalayan Mountains • Pacific Ocean • Plateau of Tibet • Yangtze River • Yellow River",Ancient China: c. 2500 BC-200 AD,6 | SIXTH GRADE SOCIAL STUDIES
new,,6.34,,,,"Explain the origin of ancient China's civilizations in the Yellow River Valley (e.g., Xia and Shang Dynasty).",Ancient China: c. 2500 BC-200 AD,6 | SIXTH GRADE SOCIAL STUDIES
new,,6.35,,,,Analyze how China's geography made governing difficult and influenced isolation from the rest of the world.,Ancient China: c. 2500 BC-200 AD,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.33,6.36,yes,0.56,Describe how the size of ancient China made governing difficult and how the concepts of the mandate of heaven and Legalism emerged as solutions to this problem.,"Describe the concepts of the Mandate of Heaven, it's origin in the Zhou Dynasty, and how Legalism emerged as a solution to cultural, geographic, and political challenges.",Ancient China: c. 2500 BC-200 AD,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.35,6.37,yes,0.73,"Explain the significance of the unification of ancient China into the first Chinese empire by Qin Shi Huangdi, beginning the Qin Dynasty.","Explain the significance of the unification of ancient China into the first Chinese empire by Qin Shi Huangdi, beginning the Qin Dynasty, including building projects (e.g., the Great Wall, roads and canals), and a standardized writing system.",Ancient China: c. 2500 BC-200 AD,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.34,6.38,yes,1.00,"Identify the political and cultural problems prevalent in the time of Confucius and how the philosophy of Confucianism and The Analects emphasized the concepts of kinship, order, and hierarchy to address these problems.","Identify the political and cultural problems prevalent in the time of Confucius, and how the philosophy of Confucianism and The Analects emphasized the concepts of kinship, order, and hierarchy to address these problems.",Ancient China: c. 2500 BC-200 AD,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.37,6.39,yes,0.61,"Explain the major accomplishments of the Han Dynasty, including: the magnetic compass, paper making, porcelain, silk, and woodblock printing.","Explain how the Han Dynasty's political success was influenced by Confucianism, and describe major accomplishments such as the magnetic compass, paper making, porcelain, silk, seismograph and woodblock printing.",Ancient China: c. 2500 BC-200 AD,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.38,6.40,yes,0.66,"Describe how the desire for Chinese goods influenced the creation of The Silk Road and initiated cultural diffusion throughout Eurasia, including the introduction of Buddhism into ancient China.","Explain how the development of the Silk Road led to cultural diffusion between China and Eurasia, including traded goods and the spread of Buddhism into ancient China.",Ancient China: c. 2500 BC-200 AD,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.39,6.41,yes,0.79,"Identify and locate geographical features of ancient Greece, including: Asia Minor; Mediterranean Sea; Athens; Peloponnesian peninsula; Macedonia; Sparta","Identify and locate on a map geographical and political features of ancient Greece, including: • Aegean Sea • Asia Minor • Athens • Macedonia • Mediterranean Sea • Peloponnesian peninsula • Sparta",Ancient Greece: c. 800-300 BC,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.40,6.42,yes,1.00,"Analyze how the geographical features of ancient Greece, including its mountainous terrain and access to the Mediterranean Sea, contributed to its organization into city-states, role in maritime trade, and colonies in the Mediterranean.","Analyze how the geographic features of ancient Greece, including its mountainous terrain and access to the Mediterranean Sea, contributed to its organization into city-states, role in maritime trade, and colonies in the Mediterranean.",Ancient Greece: c. 800-300 BC,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.41,6.43,yes,1.00,"Examine the concept of the polis in Greek city-states, including the ideas of: citizenship, civic participation, and the rule of law.","Examine the concept of the polis in Greek city-states, including the ideas of citizenship, civic participation, and the rule of law.",Ancient Greece: c. 800-300 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.43,6.44,yes,0.56,"Explain the characteristics of the major Greek city-states of Athens and Sparta, including: Advantages of each geographic location; Status of women; Approaches to education; Styles of government; Practice of slavery","Contrast the characteristics of the major Greek city-states of Athens and Sparta, including: • Approaches to education • Geographic locations • Role of enslaved persons • Status of women • Styles of government (i.e., direct democracy and oligarchy)",Ancient Greece: c. 800-300 BC,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.44,6.45,yes,1.00,"Analyze the causes and consequences of the Persian Wars, including the role of Athens and its cooperation with Sparta to defend the Greek city-states.","Analyze the causes and consequences of the Persian Wars, including the role of Athens and its cooperation with Sparta to defend the Greek city-states.",Ancient Greece: c. 800-300 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.45,6.46,yes,0.88,"Analyze the causes and consequences of the Peloponnesian Wars, including how the growing political conflict between Athens and Sparta led to war and left the city-states open to conquest by the Macedonians.","Analyze the causes and consequences of the Peloponnesian Wars, including how the growing political conflict between Athens and Sparta led to war and weakened the city-states.",Ancient Greece: c. 800-300 BC,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.46,6.47,yes,1.00,"Explain the polytheistic religion of ancient Greece, with respect to beliefs about the humanlike qualities of the deities, their importance in everyday life, and the emergence of the Olympic Games to honor Zeus.","Explain the polytheistic religion of ancient Greece, with respect to beliefs about the humanlike qualities of the deities, their importance in everyday life, and the emergence of the Olympic Games to honor Zeus.",Ancient Greece: c. 800-300 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.48,6.48,no,0.86,"Examine the influence of ancient Greek philosophers (e.g., Aristotle, Plato, and Socrates) and their impact on education and society in Greece.","Examine the influence of major ancient Greek philosophers (i.e., Socrates, Plato, and Aristotle) and their impact on education and society in ancient Greece.",Ancient Greece: c. 800-300 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.49,6.49,no,0.94,"Describe the purposes of major Greek architecture, including the Parthenon and the Acropolis.","Describe the purposes of major Greek architecture (e.g., columns), including the Parthenon and the Acropolis.",Ancient Greece: c. 800-300 BC,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.50,6.50,no,1.00,"Explain the unification of the Greek city-states by Macedonia, and analyze the impact of Alexander the Great and the diffusion of Hellenistic culture.","Explain the unification of the Greek city-states by Macedonia, and analyze the impact of Alexander the Great and the diffusion of Hellenistic culture.",Ancient Greece: c. 800-300 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.51,6.51,no,0.79,"Identify and locate the geographical features of ancient Rome, including: Constantinople; Mediterranean Sea; Italian Alps; Rome; Italian Peninsula; Tiber River","Identify and locate on a map the geographical and political features of ancient Rome, including: • Constantinople • Italian Alps • Italian Peninsula • Mediterranean Sea • Rome • Tiber River",Ancient Rome: c. 500 BC-500 AD,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.52,6.52,no,1.00,Analyze how the geographical location of ancient Rome contributed to its political and economic growth in the Mediterranean region and beyond.,Analyze how the geographical location of ancient Rome contributed to its political and economic growth in the Mediterranean region and beyond.,Ancient Rome: c. 500 BC-500 AD,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.54,6.53,yes,0.95,"Describe the class system of ancient Rome, including the role of patricians, plebeians, and slaves in Roman society.","Describe the class system of ancient Rome, including the role of patricians, plebeians, and enslaved people in Roman society.",Ancient Rome: c. 500 BC-500 AD,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.53,6.54,yes,1.00,"Describe the government of the Roman Republic, including: Branches of government; Checks and balances; Civic participation; Representative democracy; The rule of law and the Twelve Tables","Describe the government of the Roman Republic, including: • Branches of government • Checks and balances • Civic participation • Representative democracy • The rule of law and the Twelve Tables",Ancient Rome: c. 500 BC-500 AD,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.55,6.55,no,1.00,"Describe the characteristics of Julius Caesar's rule, including: Leadership in the military; Popularity amongst plebeians; Role as dictator for life; Assassination","Describe the characteristics of Julius Caesar’s rule, including: • Leadership in the military • Popularity amongst plebeians • Role as dictator for life • Assassination",Ancient Rome: c. 500 BC-500 AD,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.56,6.56,no,1.00,"Analyze the influence of Augustus Caesar, including the establishment of the Roman Empire and its political, geographic, and economic expansion during the Pax Romana.","Analyze the influence of Augustus Caesar, including the establishment of the Roman Empire and its political, geographic, and economic expansion during the Pax Romana.",Ancient Rome: c. 500 BC-500 AD,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.57,6.57,no,0.67,"Analyze how innovations in engineering and architecture contributed to Roman expansion, including the role of: Aqueducts; Arches; Bridges; The Colosseum; Domes; Roads; Sanitation","Determine how the engineering and architectural achievements of Ancient Rome influenced daily life, including the role of: • Aqueducts • Arches • Bridges • Domes • Roads • Sanitation • The Colosseum",Ancient Rome: c. 500 BC-500 AD,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.58,6.58,no,1.00,"Explain the polytheistic religion of ancient Rome, with respect to beliefs about the humanlike qualities of the deities and their importance in everyday life.","Explain the polytheistic religion of ancient Rome, with respect to beliefs about the humanlike qualities of the deities and their importance in everyday life.",Ancient Rome: c. 500 BC-500 AD,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.59,6.59,no,1.00,"Describe the origins and central features of Christianity: Key Person(s) Jesus, Paul; Sacred Texts: The Bible; Basic Beliefs: monotheism, sin and forgiveness, eternal life, Jesus as the Messiah","Describe the origins and central features of Christianity: • Key Person(s) Jesus, Paul • Sacred Texts: The Bible • Basic Beliefs: monotheism, sin and forgiveness, eternal life, Jesus as the Messiah",Ancient Rome: c. 500 BC-500 AD,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.60,6.60,no,0.88,"Explain the expulsion of the Jews from their homeland by the Romans, which began the Jewish diaspora.","Explain the reasons for the expulsion of the Jews from their homeland by the Romans (i.e., the Jewish diaspora).",Ancient Rome: c. 500 BC-500 AD,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.61,6.61,no,0.85,"Explain the division of the Roman Empire into East and West, and identify the later establishment of Constantinople as the capital by Constantine.","Explain the division of the Roman Empire into East and West, and identify why Constantinople was established as the capital by Constantine.",Ancient Rome: c. 500 BC-500 AD,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.62,6.62,no,1.00,"Analyze the fall of the Western Roman Empire, including difficulty governing its large territory, political corruption, economic instability, and attacks by Germanic tribes, and identify the continuation of the Eastern Roman Empire as the Byzantine Empire.","Analyze the fall of the Western Roman Empire, including difficulty governing its large territory, political corruption, economic instability, and attacks by Germanic tribes, and identify the continuation of the Eastern Roman Empire as the Byzantine Empire.",Ancient Rome: c. 500 BC-500 AD,6 | SIXTH GRADE SOCIAL STUDIES
retired,6.03,,,,"Explain the impact of the Agricultural Revolution, including: Barter economy; Domestication of plants and animals; Emergence of permanent settlements; Food surpluses; Labor specialization; New sources of clothing and shelter",,,
retired,6.19,,,,"Examine the cultural diffusion of ancient Egypt with surrounding civilizations through trade and conflict, including its relationship with Nubia.",,,
retired,6.26,,,,"Explain the emergence of the Harappan civilization in the Indus River Valley as an early agricultural civilization, and describe its achievements, including: Architecture built with bricks; Arranging roads into a series of grid-systems; Sanitation and sewer systems",,,
retired,6.32,,,,"Analyze the influence of geographic features on the origins of ancient Chinese civilization in the Yellow River Valley, and explain how China's geography helped create a unique yet diverse cultural identity that was isolated from the rest of the world.",,,
retired,6.36,,,,Explain how the implementation of the philosophy of Confucianism led to the political success and longevity of the Han Dynasty.,,,
retired,6.42,,,,Explain the basic concepts of direct democracy and oligarchy.,,,
retired,6.47,,,,"Explain the historical significance of ancient Greek literature, including how the Iliad and the Odyssey provide insight into the life of the ancient Greeks.",,,
